ID,AI Use Case ,Description,,,,,,,,,
1,FrontLine - Partnership Banking,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.",,,,,,,,,
2,Finance,"Transform raw financial data into well-structured reports (e.g., P&L, balance sheets, variance analysis).",,,,,,,,,
3,Analytics and Reporting,"AI builds on BI by turning historical data into proactive guidance, predictions, and optimisation.",,,,,,,,,
4,Credit Risk,"GenAI-driven Credit Risk solutions empower banks with data-driven decision-making, operational efficiency, and risk-optimized lending. By integrating AI into credit risk processes  banks can accelerate approvals, improve risk monitoring and credit portfolio management thereby driving profitability while ensuring compliance and customer-centric services.",,,,,,,,,
5,Lending Ops,"AI Document Processing for Loan Applications & Compliance , credit assesment post settlement checks.",,,,,,,,,
6,HyperPersonalization,"Generative AI enables new customer relevance through a reinvention of marketing, sales, and service experiences.",,,,,,,,,
7,Contact Centre,"Generate a call summary, using the captured transcription of each call. Agent-assist features, surfacing relevent knowlege and customer information, based on the realtime call. Customer-assist self-service features, enabling an natural and open conversaitons using a Conversational AI tool.",,,,,,,,,
8,Security AI,Use of AI to identify threats earlier with higher accuracy.,,,,,,,,,
9,Data Products,Extend GenAI intervention to accelerate data product creation.,,,,,,,,,
10,SDLC,"GenAI can automate key SDLC tasks, enhancing productivity, and reducing costs. By integrating GenAI, banks can accelerate time-to-market, improve code quality, enhance security, and reduce development overhead.",,,,,,,,,
11,Fincrime,"Name screening, OCDD, ECDD and TM narrative writing.",,,,,,,,,
12,QA / QC,"Automate data validation, detecting errors, and ensuring compliance with regulatory standards. Prioritizes high-risk cases, generates audit-ready reports, and provides real-time feedback to analysts, reducing manual effort and improving accuracy.",,,,,,,,,
13,Fraud Ops,"AI can support case officers y Summarising customer history, Highlighting suspicious patterns, Automatically pulling evidence from multiple systems.",,,,,,,,,
14,Onboarding,"AI streamlines onboarding by automating ID verification, KYC checks, and risk assessment for faster, safer customer activation.",,,,,,,,,
15,Risk Functions,"Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk. AI reduces Operational Risk by identifying anomalies, streamlining investigations, and improving the accuracy of risk assessments.",,,,,,,,,
16,IT Operations,"Evolution of the Ticketing Process and Smart Routing - Incident / Service / Problem  Management, Security , Analytics, Identity and Access Management, Helpdesk, BCM.",,,,,,,,,
17,FrontLine - CIB,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.",,,,,,,,,
18,Procurement,"Multi-Agent System for the End-to-end Procurement process optimization, from planning to goods receipt and invoicing, enhancing operational efficiency and realtime decision-making.",,,,,,,,,
19,Payment disputes,Automate and orchestrate the end-to-end lifecycle of card payment disputes across two recurrent scenarios: Commercial Dispute and Fraud.,,,,,,,,,
20,Controls testing ,Controls testing - IT and business.,,,,,,,,,
21,Wholesale underwriting transformation - CIB,"End-to-end transformation of CIB Risk Underwring process, including: Data Collection + Rating Calculation + Financial Program + Deal Approval + Continuous monitoring.",,,,,,,,,
22,Learning content production,"AI accelerates content creation by generating lessons, quizzes, and summaries tailored to specific roles and needs.",,,,,,,,,
23,Collection Management,"AI optimises collections by predicting payment likelihood, prioritising accounts, and recommending the best recovery actions.",,,,,,,,,
24,Front-end app personalisation,"Use of GenAI in the mobile app to drive hyper personalisation across 3 main areas in order to create an ‘Uber’ like experinece:1) automation of process using GenAI to determine message and campaign strategy for different micro segements 2) use of GenAI to automate creation of message content, including varients of each message for different subsegments and personas 3) to identify the right images assocuated to each message within the image library, however over time extended to include generation of personalised and bespoke images.",,,,,,,,,
