ID,AI Use Case ,Description (DO NOT CHANGE THIS),Enterprise Architect,Assumed Benefits,Anticipated Value,Likely other slate Initiatives impacted,Platforms impacted/required,Dependencies (what needs to be true for this use case?),Comments / Questions / Assumptions,Assumed Data Inputs,Data Outputs (select),Assumed Data Outputs,,,,
1,FrontLine - Partnership Banking,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.","Shawn Cawood 
Dan Barratt
Hugh Walcott (knowledge)
Sarah Amundsen (customer engagement)",Increased revenue through improved cross-sell/upsell effectiveness; Enhanced customer satisfaction and retention; Reduced relationship manager preparation time; Improved customer lifetime value; Better risk identification and proactive engagement.,High,"Customer Engagement
Customer 360","Colleague Digital
Conversational Banking
Customer Engagment
Enterprise Information Management ","- GenAI Auto-Categorisation MicroService (EIM TSA)
- Mongo Atlas vector database (ES FY26 deliverbale)
- DocMan ingestion of frontline documents (MCF and VRetrieve ingestion - EIM FY27?)
- SalesForce offboarding to EIM (C360 FY26 deliverable)
- DocMan intelligent search (EIM FY27?)
- Trial and adoption of Salesforce Agentforce, to provide insights into the customer relationship and sales opportunities
- Integration of Salesforce to Te Kete, to support AI assisted knowledge retrival and summarisation","Assume this includes access to knowledge base (Te Kete).  
SA: having a holistic/central customer interaction history (IH) is critical to all Customer Engagement channels, and C360 is both a 'channel' for data coming from the new MarTech tool and CDH, and provides input to customer IH and lead scoring; I don't envisage there being a need for AI in the context of C360 beyond what functionality may exist already (I am not close enough to C360 to know if/what exists).  SA again: see also comments in row 24.

AC: Does this include Te Kete integration, or is this focused on the NBC being surfaced into channel (Digital or C360)? (DB: Both)

HW: I have assumed the use case refers to the customer records we already have (distributed across multiple repos including MCF, VRetrieve, SalesForce), so does not require Te Kete, but instead requires a semantic layer over these repos (a deliverable aligned to EIM). ","Customer documentation, profiles, transaction history, interaction logs, product holdings, financial statements, market data, relationship tenure, communication, calendar/meeting data, CRM records",,"Personalized recommendations, next best action suggestions, customer insights summaries, meeting preparation briefs, relationship health scores, cross-sell/upsell opportunities, automated communication drafts, risk alerts, customer sentiment analysis, personalised marketing and recommendaitons, enhanced customer support (with chatbots), better fraud detection, document anlaysis and compliance, trend identification and prodictive analytics, targeted knowledge articles.",,,,
2,Finance,"Transform raw financial data into well-structured reports (e.g., P&L, balance sheets, variance analysis)","Brian Stapleton
Tracey Davis",Reduced month-end close time; Improved accuracy and reduced manual errors; Faster decision-making with real-time insights; Enhanced regulatory compliance; Reduced FTE costs in financial reporting.,High,"Finance Transformation 
Data Modernisation","Finance
Data & Analytics
Enterprise Reporting
Regulatory Reporting",Legacy Finance Data Stores; Enterprise Interfaces,"Need to ensure Fabric ingestion model is approved through TAF

BJS: I have not seen this experiment, however S4HANA will include SAC (SAP Analytics Cloud) which will address much of the operational month reporting and reduce the month end close. This is already in scope and will be delivered by the project October 2026. The experiment would need to export significant amounts of data from ODM to another data warehouse (Fabric?) and create a new set of reports which are already done in ODM, plus reconciling from the ODM to the new Fabric warehouse. ","General ledger data, trial balance, chart of accounts, transaction records, budget data, prior period financials, cost center allocations, journal entries, reconciliation records, regulatory filings",,"Formatted P&L statements, balance sheets, variance analysis reports, trend visualizations, anomaly alerts, narrative explanations of variances, predictive forecasts, executive summaries, regulatory compliant reports",,,,
3,Analytics and Reporting,"AI builds on BI by turning historical data into proactive guidance, predictions, and optimisation",Tracey Davis,Democratized data access reducing analyst dependency; Proactive decision-making with predictive capabilities; Reduced report generation time from days to minutes; Improved business agility and responsiveness; Enhanced data-driven culture across organization.,High,Data Modernisation,"Data & Analytics
Enterprise Reporting
Regulatory Reporting
Data & Information Protection","Dependent on Data modernisation, snowflake and fivetran in prior to this acceleration. Or is this something we use against Hadoop",,"Historical transaction data, customer behavior patterns, product performance metrics, operational KPIs, market indicators, seasonal trends, external economic data, business rules, dimensional models",,"Predictive insights, trend forecasts, automated dashboards, natural language summaries, optimization recommendations, anomaly detection alerts, what-if scenario analysis, prescriptive actions, self-service analytics via NL queries",,,,
4,Credit Risk,"GenAI-driven Credit Risk solutions empower banks with data-driven decision-making, operational efficiency, and risk-optimized lending. By integrating AI into credit risk processes  banks can accelerate approvals, improve risk monitoring and credit portfolio management thereby driving profitability while ensuring compliance and customer-centric services.",Paul Furkert,Reduced credit losses through better risk assessment; Faster loan approval times improving customer experience; Optimized pricing increasing profitability; Enhanced portfolio monitoring reducing defaults; Improved regulatory compliance and capital efficiency.,High,Credit Decisioning Models,"Credit Modelling, Pricing & Decisioning
Group Credit Risk",,Need to clarify if this is limited to the credit risk context or if there is a need for data from other sources,"Credit applications, financial statements, credit bureau reports, payment history, debt-to-income ratios, collateral valuations, industry sector data, macroeconomic indicators, existing exposure data, behavioral data, credit policies",,"Credit scores, risk ratings, approval/rejection decisions, risk-adjusted pricing recommendations, portfolio risk metrics, early warning alerts, exposure limits, credit narratives, stress test results, compliance reports",,,,
5,Lending Ops,"AI Document Processing for Loan Applications & Compliance , credit assesment post settlement checks ",Paul Furkert/Angus Cotton,Processing time reduction for loan applications; Improved accuracy reducing rework; Enhanced compliance with automated validation; Reduced operational costs; Faster time-to-yes improving customer satisfaction,High,"Customer 360
Home Loan Top Ups (?)","Lending Origination
Credit Modelling, Pricing & Decisioning
Enterprise Information Management (DocMan)",,,"Loan applications (PDFs/scans), identity documents, income verification documents, property valuations, legal contracts, compliance checklists, settlement documents, supporting financial records, email communications",,"Extracted data fields, document classification tags, compliance validation status, missing document alerts, risk flags, automated summaries, post-settlement verification reports, exception notifications, audit trails",,,,
6,HyperPersonalization,"Generative AI enables new customer relevance through a reinvention of marketing, sales, and service experiences","Corina Elama
Sarah Amundsen",Increased campaign conversion rates; Higher customer engagement and satisfaction scores; Improved product adoption; Reduced customer churn; Enhanced brand loyalty and NPS scores,High,"Customer Engagement
Customer 360","Customer Digital
Customer Engagement
Marketing & Campaign management","Language Model including data ingestion processes to generate possible next best actions 
Decisioning engine for generation next best offer - Pega CDH?
Content Management System - dynamic content generation based on dynamic offering
A/B testing platform 
Communications Delivery Platform for journey orchestration 
Channels being enhanced to support the righ medium to support this hyper personalised context
Pricing Manager ","Points 6 and 24 should be linked as I assume that personalisation is driven from the same space, potentially taking different shapes based on channels. Expected that much of the depencies mentioned are part of the MarTech tool that is currently looked at","Customer demographics, transaction patterns, channel preferences, life events, product usage data, browsing behavior, campaign response history, sentiment analysis, external context (weather/events), real-time triggers",Unclear at this time,"Personalized offers, targeted campaign content, individualized product recommendations, dynamic pricing, customized communication timing, micro-segment assignments, propensity scores, journey orchestration decisions, A/B test variants",,,,
7,Contact Centre,"Generate a call summary, using the captured transcription of each call. Agent-assist features, surfacing relevent knowlege and customer information, based on the realtime call. Customer-assist self-service features, enabling an natural and open conversaitons using a Conversational AI tool",Dan Barratt,Reduced average handle time; Improved first call resolution; Enhanced customer satisfaction (CSAT) scores; Reduced agent training time; Lower operational costs through automation of inquiries,High,Digital Modernisation,Conversational Banking,"1) Customer self-service features require access to customer and account APIs, as well as access to public knowledge articles
2) Requires an uplift in Conversational platform operations team, to monitor and tune AI performance",AC: Why is there a dependency on Customer self-service features for this function?,"Call transcripts, chat logs, customer history, IVR interactions, knowledge base articles, product documentation, agent notes, escalation records, sentiment signals, hold time data, resolution outcomes",Unclear at this time,"Call summaries, sentiment scores, intent classification, next best responses, automated resolutions, agent assist suggestions, quality scores, coaching recommendations, FAQs, knowledge gaps, customer satisfaction predictions, routing decisions",,,,
8," Security AI - Detection & Response Engineering
","Use of AI to do the underlying semantics for orchestrating and automating the removal of noise  and enhancing  accuracy than traditional tools by analysing and augmenting large volumes of network, endpoint, and user context/data in real time to enable the bank to detect and respond to threats with precision. This use case should also extend to using AI for enabling autonomic containment and investigation of  cyber incidents.","Francis Kaitano
Mike Thompson 
John Marshall
Glenn Bellam
Tracey Hughes","1.Reduced threat detection time from hours to minutes; reduction in false positives; Prevented potential losses from cyber attacks; Enhanced regulatory compliance and risk management; Improved security team efficiency.

2.  Security AI - Remediation Operations, Security & Compliance as Code i.e. Use of AI to enable fast, consistent and scalable remediation of security defects, vulnerabilities and configuration issues in an efficient and frictionless manner using Ai assisted security policy and compliance as code with the goal of enabling the bank to deliver secure, quality, compliant and reliable code, data and infrastructure. Notable benefits will include but not limited to:
Increase in efficiencies around the delivery of quality, secure and compliant code.
Enhance Developer experience through the reduction of Toil(Security Defects & Vulnerability Fixing) by x%.
Reduction of production vulnerabilities by Y% due to early detection and remediation of defects before production
Increased and continuous assurance in terms of meeting our regulatory and CHF requirements - Evergreen builds.
etc.",High,Cyber Uplift,"Cyber Threat Intelligence Detection and Response
Enterprise Data and Information Protection
Application & Infrastructure Protection
Core Network Management","1) Require Uplift in Security Observability & Operational Observability.
2) Next Generation SIEM and SOAR uplift is required as a foundational enabler
3. Strong foundations and getting the basics right for Threat Intelligence is key. Current capabilities are immature and not fit for purpose.
4. Investments in enabling orchestration of standardised patterns for detection and response logic across all the key areas is a must invest in (Application, Cloud, Data, Integration, Endpoint & Networking) 
5) Simplification and uplift of the Engineering Automation, Infrastructure Foundations pipelines is key to delivering outcomes
6) DevOps Operating Model (Enterprise Level)
7. Transformation and overhaul of the current vulnerability management model.","Does this differ to Wiz investment?or does it need other end point detection to be in place?  "" Wiz is only one part of the equation, this needs investments across the various components which makes our detection and response logic i.e. the Application, Cloud, Data, Infrastructure, Integration, Endpoint and Network Detection & Response Layers to ensure that all these layers are fluent in AI and can coherently provide the context(feeds) required to enable the AI aspects to be autonomic in action"" Francis. K. Also Requires close collaboration to drive consistent uplift and modernisation across all parties involved in the devlivey of software, data and infra through the various delivery pipelines. The Engineei Engineering Automation & Software + Infra Foundation Platforms are key enablers of outcomes. ","1. SDLC (App, Cloud/Infra, Data) pipeline context
2. Golden Path patterns
3. Policy Information and Enforcement Data across the development pipelines
4. Business Context
5. Threat Intelligence Context + All security logs and context: e.g.  Cloud, Application,  Network traffic logs, endpoint activity, authentication events, firewall logs, SIEM alerts, vulnerability scans, user behavior patterns, threat intelligence feeds, system configurations, access logs, email metadata, DNS queries,etc.",Unclear at this time,"1. Risk Based Remediation and Reachability Context
2. Real time SDLC wide Security Posture and Exposure View
3. Defect & Vulnerability Burn Rates
4. Multi Framework Compliance View e.g. CPS 234, CHF, PCI DSS, etc.
5. Team specific self serv dashboards.
6. Threat Intelligence, detection alerts, risk scores, attack pattern identification, anomaly reports, automated response actions, incident prioritization, threat hunting insights, security posture assessments, remediation recommendations, false positive reduction, IOC lists",,,,
9,Data Products,Extend GenAI intervention to accelerate data product creation,Tracey Davis,Accelerated data product delivery; Improved data quality and consistency; Enhanced data discoverability and reusability; Reduced time-to-insight for business users; Lower data engineering costs.,High,Data Modernisation,"Data & Analytics
Enterprise Rerporting
Regulatory Reporting
Enterprise Data & Information Protection",Data ingestion spreadsheet showing the key subject areas. ,Is the scope the use of Snowflake Cortex; or does it go beyond that into enterprise agentic?,"Business requirements, data source metadata, schema definitions, data quality rules, data lineage, existing data models, governance policies, user access patterns, data catalog content, technical documentation",,"Data product specifications, automated data pipelines, data quality checks, documentation, API definitions, sample datasets, data models, metadata tags, usage analytics, data contracts, discovery content, observability metrics",,,,
10,SDLC,"GenAI can automate key SDLC tasks, enhancing productivity, and reducing costs. By integrating GenAI, banks can accelerate time-to-market, improve code quality, enhance security, and reduce development overhead",Glenn Bellam,Developer productivity increased; Faster time-to-market; Reduced bugs and security vulnerabilities; Improved code quality and maintainability; Lower technical debt accumulation.,High,tbc,"Engineering Automation & Software
Application & Infrastructure Protection","Github Copilot, Golden paths, uplift in software design and requirements and testing practices. ","Huge impact as it will change the way we develop software for our 500+ domain teams.  We don't see software designs at TAF at the moment - usually just infrastructure ones.  We need a lift up in practices around software designs including things like state flows and sequence diagrams to inform GenAI in the creation of code and unit test practices.  Expect significant change to domain team and developer workflows out of this.

AC: Is it just Github CoPilot, or are we also looking at other dependencies, such as AgentCore, Q, etc

HW: I wonder if this use case also cover our partners and vendors who are 'vibe coding' software on our behalf (e.g Datacom for code migraiton)  ","Source code repositories, user stories, requirements documents, design specifications, test cases, deployment logs, code review comments, security scan results, performance metrics, dependency manifests, architecture diagrams",,"Code suggestions, automated tests, documentation, code reviews, security vulnerability fixes, refactoring recommendations, deployment scripts, API documentation, performance optimization suggestions, technical debt analysis, commit messages",,,,
