ID,Name,Description,Produced By Use Cases,Consumed By Use Cases
DP-001,Customer Profile Data,"Customer profile, history, and interactions from CRM including demographics, contact information, account relationships, and interaction history","Core Systems (Salesforce CRM, Core Banking)","UC-001, UC-006, UC-007, UC-011, UC-014, UC-017, UC-023, UC-024"
DP-002,Transaction History,"Transaction history and balances from core banking including debits, credits, transfers, payment details, transaction type, amount, timestamp, merchant information, and channel","Core Banking System","UC-001, UC-002, UC-003, UC-004, UC-006, UC-008, UC-011, UC-013, UC-019, UC-023, UC-024"
DP-003,Loan and Credit Data,"Loan history and credit scores from lending platform including application data, approval status, repayment history, and credit bureau scores","Lending Platform, Credit Bureaus","UC-001, UC-004, UC-005, UC-021, UC-023"
DP-004,Investment Portfolio Data,"Portfolio holdings and performance including asset allocations, valuations, returns, and market data","Investment Platform","UC-001, UC-003, UC-017"
DP-005,Market and Economic Data,"Stock prices, economic indicators, interest rates, and market trends from external data providers","External Market Data Providers","UC-001, UC-003, UC-017, UC-021"
DP-006,News and Media Intelligence,"Company news, industry trends, adverse media, and competitive intelligence from news feeds and social media","News & Media Services, LinkedIn","UC-001, UC-008, UC-011, UC-017"
DP-007,Client Meeting Insights,"AI-generated client briefings including meeting preparation materials, opportunity lists, talking points, and relationship insights from RM Copilot","UC-001, UC-017","UC-001, UC-017"
DP-008,Opportunity Scores,"Ranked cross-sell/upsell opportunities and propensity scores generated by ML models","UC-001, UC-006, UC-017","UC-001, UC-006, UC-007, UC-017, UC-024"
DP-009,CRM Updates,"Auto-captured meeting notes, actions, and customer interaction summaries","UC-001, UC-007, UC-017","CRM System (Salesforce)"
DP-010,RM Performance Metrics,"Relationship manager productivity, conversion rates, pipeline metrics, and effectiveness KPIs","UC-001, UC-017","UC-003, Management Dashboards"
DP-011,Financial Close Data,"Automated reconciliation results, journal entries, variance analysis, accrual estimates, and P&L/Balance Sheet data","UC-002","UC-002, UC-003, UC-009, UC-015, UC-021"
DP-012,Financial Narratives,"AI-generated management commentary, variance explanations, and executive summaries for financial statements","UC-002","UC-002, UC-003, Regulatory Reporting"
DP-013,Anomaly Detection Alerts,"Identified unusual transactions, posting errors, data quality issues, and financial anomalies","UC-002, UC-008, UC-012, UC-015","UC-002, UC-008, UC-011, UC-012, UC-015"
DP-014,Conversational Analytics Results,"Natural language query results, generated insights, automated visualizations, and SQL translations","UC-003","UC-001, UC-002, UC-003, UC-009, UC-017"
DP-015,Predictive Forecasts,"ML-generated forecasts including trend analysis, scenario modeling, and predictive insights","UC-003, UC-004, UC-015","UC-002, UC-003, UC-015, UC-018, UC-021"
DP-016,Credit Risk Scores,"Probability of Default (PD), Loss Given Default (LGD), Exposure at Default (EAD), and credit decision scores","UC-004, UC-021","UC-001, UC-004, UC-005, UC-011, UC-014, UC-017, UC-021, UC-023"
DP-017,Explainable Credit Decisions,"SHAP/LIME feature attributions, counterfactual explanations, and model interpretability reports for credit decisions","UC-004, UC-021","UC-004, UC-005, UC-021, Regulatory/Compliance"
DP-018,Alternative Credit Data,"Open banking transaction data, telco payment history, rental payment history, and behavioral financial data","External Data Providers","UC-004, UC-014"
DP-019,Extracted Document Data,"Structured data extracted from loan applications, financial statements, identity documents, contracts, invoices including OCR text, entities, and confidence scores","UC-005, UC-011, UC-018, UC-019, UC-020, UC-021, UC-023","UC-002, UC-004, UC-005, UC-011, UC-012, UC-014, UC-018, UC-019, UC-020, UC-021, UC-023"
DP-020,Document Fraud Signals,"Document authenticity verification results, manipulation detection, and forensics analysis","UC-005, UC-011, UC-014","UC-004, UC-005, UC-011, UC-013, UC-014"
DP-021,Customer Propensity Scores,"Churn propensity, product affinity, engagement likelihood, and life event predictions","UC-006, UC-024","UC-001, UC-006, UC-007, UC-017, UC-023, UC-024"
DP-022,Personalized Content,"AI-generated personalized messages, emails, offers, push notifications, and marketing content","UC-006, UC-023, UC-024","UC-006, UC-007, UC-023, UC-024"
DP-023,Customer 360 Features,"Real-time customer behavioral features, aggregated signals, and feature store data for ML models","UC-006, UC-009, UC-024","UC-001, UC-003, UC-004, UC-006, UC-008, UC-011, UC-013, UC-017, UC-023, UC-024"
DP-024,Call Transcripts and Summaries,"Real-time call transcriptions, AI-generated call summaries, sentiment analysis, and extracted action items","UC-007","UC-003, UC-006, UC-007, UC-011, UC-012, UC-023"
DP-025,Agent Assistance Recommendations,"Real-time knowledge surfacing, next-best-action suggestions, and compliance monitoring results for agents","UC-007","UC-007"
DP-026,Quality Monitoring Scores,"Automated quality scoring, compliance adherence tracking, and performance analytics for contact center","UC-007, UC-012","UC-003, UC-007, UC-012, UC-015"
DP-027,Security Events and Threat Intelligence,"Security event logs, anomaly detection alerts, threat intelligence feeds, UEBA alerts, and IOC data","UC-008","UC-008, UC-010, UC-011, UC-015, UC-016"
