Pattern ID,Pattern Name,Pattern Category,Maturity Level,Priority,Use Case ID,Use Case Name,Role
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC01,FrontLine - Partnership Banking,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC02,Finance,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC03,Analytics and Reporting,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC04,Credit Risk,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC05,Lending Ops,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC06,HyperPersonalization,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC07,Contact Centre,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC08,Security AI,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC09,Data Products,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC10,SDLC,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC11,Fincrime,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC12,QA/QC,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC13,Fraud Ops,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC14,Onboarding,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC15,Risk Functions,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC16,IT Ops,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC17,FrontLine - CIB,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC18,Procurement,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC19,Payment Disputes,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC20,Controls Testing,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC21,Wholesale Underwriting,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC22,Learning Content,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC23,Collection Management,Cross-Cutting
PT-001,Enterprise AI Governance Platform,Governance,Emerging,CRITICAL,UC24,Front-end App Personalisation,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC02,Finance,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC04,Credit Risk,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC06,HyperPersonalization,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC08,Security AI,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC11,Fincrime,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC13,Fraud Ops,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC14,Onboarding,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC15,Risk Functions,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC19,Payment Disputes,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC21,Wholesale Underwriting,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC23,Collection Management,Cross-Cutting
PT-002,MLOps Level 2+ with Governance,Governance,Mature,CRITICAL,UC24,Front-end App Personalisation,Cross-Cutting
