ID,AI Use Case ,Description (DO NOT CHANGE THIS),Improved Description,Ambiguous / Need More Information,Enterprise Architect,FTE ,,Category,Anticipated Benefits,Anticipated Value,AI Solution Assumption (See other columns for dependencies including interfaces and data needs),Likely other slate Initiatives impacted,Platforms impacted/required,Dependencies,Comments / Questions,AI Type (select),Infrastructure Needs (select),Data Inputs (select),Indicative Data Inputs (description),Data Outputs (select),Indicative Data Outputs (description),Integration Complexity (select),Deployment Pattern (select),Volume/Scale (select),Licensing Model (select),Maturity/Risk (select),Governance Requirements (select),Desirability? (select),"Viability? 
(Is this doable? Select)","Feasibility? (descriptive)
(How easily can we do it given what we know?)",,,,
1,FrontLine - Partnership Banking,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.","AI-powered relationship management tool that helps relationship managers strengthen customer connections through intelligent insights, automated meeting preparation, personalized recommendations, and proactive engagement strategies.",No,"Shawn Cawood 
Dan Barratt
Hugh Walcott (knowledge)
Sarah Amundsen (customer engagement)",,,Customer & Relationship Management,Increased revenue through improved cross-sell/upsell effectiveness; Enhanced customer satisfaction and retention; Reduced relationship manager preparation time; Improved customer lifetime value; Better risk identification and proactive engagement.,High,"AI-powered relationship management platform integrating LLM with CRM systems and data sources. Solution includes: 1) RAG (Retrieval Augmented Generation) for customer insights synthesis, 2) Predictive analytics for next best actions, 3) GenAI for meeting prep and communication drafting, 4) Real-time alerts using ML models for relationship health monitoring.","Customer Engagement
Customer 360","Colleague Digital
Conversational Banking
Customer Engagment
Enterprise Information Management ",Salesforce?,Assume this includes access to knowledge base (Te Kete),Embedded/Vendor AI (in commercial software),,,"Customer profiles, transaction history, interaction logs, product holdings, financial statements, market data, relationship tenure, communication preferences, calendar/meeting data, CRM records",,"Personalized recommendations, next best action suggestions, customer insights summaries, meeting preparation briefs, relationship health scores, cross-sell/upsell opportunities, automated communication drafts, risk alerts",,,,,,,,,,,,,
2,Finance,"Transform raw financial data into well-structured reports (e.g., P&L, balance sheets, variance analysis)","AI-augmented financial reporting system that automatically transforms raw financial data into comprehensive reports including P&L statements, balance sheets, and variance analysis with intelligent narrative explanations and anomaly detection.",No,"Brian Stapleton
Tracey Davis",,,Finance & Accounting,Reduced month-end close time; Improved accuracy and reduced manual errors; Faster decision-making with real-time insights; Enhanced regulatory compliance; Reduced FTE costs in financial reporting.,High,"AI augmented  financial reporting. Components include: 1) Access to data products and data models by AI agents, 2) GenAI for narrative generation and variance explanations, 3) Anomaly detection ML models for data quality checks, 4) Automated report generation with natural language summaries, 5) Integration with Power BI for visualization.","Finance Transformation 
Data Modernisation","Finance
Data & Analytics
Enterprise Reporting
Regulatory Reporting",Legacy Finance Data Stores; Enterprise Interfaces,"Need to ensure Fabric ingestion model is approved through TAF

BJS: I have not seen this experiment, however S4HANA will include SAC (SAP Analytics Cloud) which will address much of the operational month reporting and reduce the month end close. This is already in scope and will be delivered by the project October 2026. The experiment would need to export significant amounts of data from ODM to another data warehouse (Fabric?) and create a new set of reports which are already done in ODM, plus reconciling from the ODM to the new Fabric warehouse. ",,,,"General ledger data, trial balance, chart of accounts, transaction records, budget data, prior period financials, cost center allocations, journal entries, reconciliation records, regulatory filings",,"Formatted P&L statements, balance sheets, variance analysis reports, trend visualizations, anomaly alerts, narrative explanations of variances, predictive forecasts, executive summaries, regulatory compliant reports",,,,,,,,,,,,,
3,Analytics and Reporting,"AI builds on BI by turning historical data into proactive guidance, predictions, and optimisation","Natural language analytics platform that enables users to query data conversationally, receive predictive insights and forecasts, and get automated recommendations—transforming reactive reporting into proactive decision-making.",No,Tracey Davis,,,Data & Analytics,Democratized data access reducing analyst dependency; Proactive decision-making with predictive capabilities; Reduced report generation time from days to minutes; Improved business agility and responsiveness; Enhanced data-driven culture across organization.,High,"AI-augmented analytics leveraging Snowflake with: 1) Natural language query interface (NLQ) using LLMs for conversational analytics, 2) Predictive ML models (time series forecasting, classification), 3) AutoML for citizen data scientists, 4) GenAI for automated insight generation and narrative explanations, 5) Semantic layer for unified data access, 6) Integration with Fivetran for data ingestion.",Data Modernisation,"Data & Analytics
Enterprise Reporting
Regulatory Reporting
Data & Information Protection","Dependent on Data modernisation, snowflake and fivetran in prior to this acceleration. Or is this something we use against Hadoop",,,,,"Historical transaction data, customer behavior patterns, product performance metrics, operational KPIs, market indicators, seasonal trends, external economic data, business rules, dimensional models",,"Predictive insights, trend forecasts, automated dashboards, natural language summaries, optimization recommendations, anomaly detection alerts, what-if scenario analysis, prescriptive actions, self-service analytics via NL queries",,,,,,,,,,,,,
4,Credit Risk,"GenAI-driven Credit Risk solutions empower banks with data-driven decision-making, operational efficiency, and risk-optimized lending. By integrating AI into credit risk processes  banks can accelerate approvals, improve risk monitoring and credit portfolio management thereby driving profitability while ensuring compliance and customer-centric services.","AI-driven credit assessment platform that accelerates loan approvals through advanced risk scoring, alternative data analysis, and explainable credit decisions—enabling faster approvals, better risk pricing, and continuous portfolio monitoring.",No,Paul Furkert,,,Risk Management,Reduced credit losses through better risk assessment; Faster loan approval times improving customer experience; Optimized pricing increasing profitability; Enhanced portfolio monitoring reducing defaults; Improved regulatory compliance and capital efficiency.,High,"AI-driven credit decisioning platform with: 1) Advanced ML models for credit scoring and probability of default, 2) Alternative data analytics for enhanced risk assessment, 3) GenAI for credit narrative generation and explanation, 4) Real-time monitoring using streaming analytics, 5) Ensemble models for portfolio risk aggregation, 6) Explainable AI for regulatory compliance and transparency.",Credit Decisioning Models,"Credit Modelling, Pricing & Decisioning
Group Credit Risk",,Need to clarify if this is limited to the credit risk context or if there is a need for data from other sources,,,,"Credit applications, financial statements, credit bureau reports, payment history, debt-to-income ratios, collateral valuations, industry sector data, macroeconomic indicators, existing exposure data, behavioral data, credit policies",,"Credit scores, risk ratings, approval/rejection decisions, risk-adjusted pricing recommendations, portfolio risk metrics, early warning alerts, exposure limits, credit narratives, stress test results, compliance reports",,,,,,,,,,,,,
5,Lending Ops,"AI Document Processing for Loan Applications & Compliance , credit assesment post settlement checks ","Intelligent document processing system that automates loan application handling through AI-powered data extraction, validation, and compliance checking—reducing processing time, improving accuracy, and accelerating customer approvals.",No,Paul Furkert/Angus Cotton,,,Lending & Credit Operations,Processing time reduction for loan applications; Improved accuracy reducing rework; Enhanced compliance with automated validation; Reduced operational costs; Faster time-to-yes improving customer satisfaction,High,"Intelligent document processing solution using: 1) OCR for data extraction, 2) NLP models for document classification and entity recognition, 3) ML validation models for data accuracy and completeness checks, 4) GenAI for document summarization and compliance narrative generation, 5) RPA integration for workflow automation, 6) Human-in-the-loop for exception handling","Customer 360
Home Loan Top Ups (?)","Lending origination
Enterprise Information Management (DocMan)",,,,,,"Loan applications (PDFs/scans), identity documents, income verification documents, property valuations, legal contracts, compliance checklists, settlement documents, supporting financial records, email communications",,"Extracted data fields, document classification tags, compliance validation status, missing document alerts, risk flags, automated summaries, post-settlement verification reports, exception notifications, audit trails",,,,,,,,,,,,,
6,HyperPersonalization,"Generative AI enables new customer relevance through a reinvention of marketing, sales, and service experiences","Real-time personalization engine that delivers individualized customer experiences through AI-generated content, dynamic offers, and predictive recommendations—creating relevant interactions at every touchpoint to drive engagement and conversion.",No,Corina Elama,,,Marketing & Personalization,Increased campaign conversion rates; Higher customer engagement and satisfaction scores; Improved product adoption; Reduced customer churn; Enhanced brand loyalty and NPS scores,High,"Real-time personalization engine with: 1) Customer data platform as source of unified customer view, 2) ML recommendation models (collaborative filtering, deep learning) for next best offer, 3) GenAI for personalized content creation at scale, 4) Real-time decisioning engine for dynamic offers, 5) Multi-armed bandit algorithms for offer optimization, 6) Journey orchestration platform integration, 7) A/B testing framework for continuous improvement.","Customer Engagement
Customer 360","Customer Digital
Customer Engagement
Marketing & Campaign management",Data ingestion  ,"Is this AI part of Pega CDH or we envision something separate? If it is separate capability, then we need to consider integration into CDH. ",Generative AI (content creation),Unclear at this time,,"Customer demographics, transaction patterns, channel preferences, life events, product usage data, browsing behavior, campaign response history, sentiment analysis, external context (weather/events), real-time triggers",,"Personalized offers, targeted campaign content, individualized product recommendations, dynamic pricing, customized communication timing, micro-segment assignments, propensity scores, journey orchestration decisions, A/B test variants",,,,,,,,,,,,,
7,Contact Centre,"Generate a call summary, using the captured transcription of each call. Agent-assist features, surfacing relevent knowlege and customer information, based on the realtime call. Customer-assist self-service features, enabling an natural and open conversaitons using a Conversational AI tool","AI-powered contact center solution featuring conversational virtual agents for self-service, real-time agent assistance with intelligent knowledge surfacing, automated call summarization, and smart routing—reducing handle time while improving resolution rates and customer satisfaction.",No,Dan Barratt,,,Customer Service & Support,Reduced average handle time; Improved first call resolution; Enhanced customer satisfaction (CSAT) scores; Reduced agent training time; Lower operational costs through automation of inquiries,High,"AI-powered contact center solution with: 1) Conversational AI virtual agents for tier-1 support automation, 2) Real-time agent assist using LLMs with RAG over knowledge base, 3) NLP for intent classification and sentiment analysis, 4) Speech-to-text transcription and analytics, 5) ML models for intelligent routing and queue optimization, 6) Quality monitoring using AI for compliance and coaching, 7) Integration with CRM and telephony platforms.",Digital Modernisation,Conversational Banking,"1) Customer self-service features require access to customer and account APIs, as well as access to public knowledge articles
2) Requires an uplift in Conversational platform operations team, to monitor and tune AI performance",,Embedded/Vendor AI (in commercial software),Cloud API only,Real-time data feeds needed,"Call transcripts, chat logs, customer history, IVR interactions, knowledge base articles, product documentation, agent notes, escalation records, sentiment signals, hold time data, resolution outcomes",Unclear at this time,"Call summaries, sentiment scores, intent classification, next best responses, automated resolutions, agent assist suggestions, quality scores, coaching recommendations, FAQs, knowledge gaps, customer satisfaction predictions, routing decisions",High (6+ systems or complex workflows),Unclear at this time,"Usage frequency (Daily, Weekly, On-demand)",Consumption-based (tokens/API calls),Proven/low risk,Unclear at this time,Yes,Yes,Yes,,,,
8,Security AI,"use of AI to identify threats earlier and with higher accuracy than traditional tools by analysing large volumes of network, endpoint, and user data in real time","AI-driven security operations platform that analyzes network, endpoint, and user behavior in real-time to detect threats faster and more accurately than traditional tools—reducing detection time, preventing breaches, and minimizing false positives.",No,"Francis Kataino
Mike Thompson 
John Marshall",,,Cybersecurity & Threat Detection,Reduced threat detection time from hours to minutes; reduction in false positives; Prevented potential losses from cyber attacks; Enhanced regulatory compliance and risk management; Improved security team efficiency.,High,"AI-driven security operations platform with: 1) ML-based user and entity behavioranalytics for anomaly detection, 2) Deep learning models for threat pattern recognition and zero-day detection, 3) Integration with SIEM  for log correlation, 4) Automated threat intelligence enrichment, 5) AI-powered Security Orchestration, Automation and Response (SOAR), 6) Network traffic analysis using AI, 7) GenAI for security report generation and incident summarization.",Cyber Uplift,"Cyber Threat Intelligence Detection and Response
Enterprise Data and Information Protection
Application & Infrastructure Protection
Core Network Management",,Does this differ to Wiz investment?or does it need other end point detection to be in place?,,,,"Network traffic logs, endpoint activity, authentication events, firewall logs, SIEM alerts, vulnerability scans, user behavior patterns, threat intelligence feeds, system configurations, access logs, email metadata, DNS queries",,"Threat detection alerts, risk scores, attack pattern identification, anomaly reports, automated response actions, incident prioritization, threat hunting insights, security posture assessments, remediation recommendations, false positive reduction, IOC lists",,,,,,,,,,,,,
9,Data Products,Extend GenAI intervention to accelerate data product creation,"AI-accelerated data product platform that automates data pipeline creation, documentation, and quality validation using GenAI—reducing development time, improving data consistency, and enhancing discoverability for faster time-to-insight.",No,Tracey Davis,,,Data & Analytics,Accelerated data product delivery; Improved data quality and consistency; Enhanced data discoverability and reusability; Reduced time-to-insight for business users; Lower data engineering costs.,High,"AI-accelerated data product platform with: 1) GenAI for automated data model and pipeline code generation from business requirements, 2) ML-powered data quality profiling and validation, 3) Automated documentation generation using LLMs, 4) Semantic search over data catalog for discovery, 5) GenAI for data contract and API specification generation, 6) Metadata management with AI-driven tagging and classification, 7) DataOps automation with CI/CD pipelines.",Data Modernisation,"Data & Analytics
Enterprise Rerporting
Regulatory Reporting",Data ingestion spreadsheet showing the key subject areas. ,Is the scope the use of Snowflake Cortex; or does it go beyond that into enterprise agentic?,Generative AI (content creation),,,"Business requirements, data source metadata, schema definitions, data quality rules, data lineage, existing data models, governance policies, user access patterns, data catalog content, technical documentation",,"Data product specifications, automated data pipelines, data quality checks, documentation, API definitions, sample datasets, data models, metadata tags, usage analytics, data contracts, discovery content, observability metrics",,,,,,,,,,,,,
10,SDLC,"GenAI can automate key SDLC tasks, enhancing productivity, and reducing costs. By integrating GenAI, banks can accelerate time-to-market, improve code quality, enhance security, and reduce development overhead","AI-powered development platform that enhances developer productivity through intelligent code generation, automated testing, security analysis, and documentation—accelerating delivery, improving code quality, and reducing technical debt across 500+ domain teams.",No,Glenn Bellam,,,Software Development & Engineering,Developer productivity increased; Faster time-to-market; Reduced bugs and security vulnerabilities; Improved code quality and maintainability; Lower technical debt accumulation.,High,"AI-powered development platform featuring: 1) GitHub Copilot (or equivalent) for code generation and completion, 2) AI code review tools for quality and security analysis, 3) Automated test generation using GenAI, 4) Documentation generation from code and comments, 5) AI-assisted debugging and root cause analysis, 6) Automated dependency management and vulnerability scanning, 7) GenAI for user story elaboration and acceptance criteria generation.",tbc,Engineering Automation & Software,Github Copilot,Huge impact as it will change the way we develop software for our 500+ domain teams,Dev/Code AI,,Uses existing data sources,"Source code repositories, user stories, requirements documents, design specifications, test cases, deployment logs, code review comments, security scan results, performance metrics, dependency manifests, architecture diagrams",,"Code suggestions, automated tests, documentation, code reviews, security vulnerability fixes, refactoring recommendations, deployment scripts, API documentation, performance optimization suggestions, technical debt analysis, commit messages",High (6+ systems or complex workflows),Real-time inference,"Usage frequency (Daily, Weekly, On-demand)",Seat-based,Emerging/medium risk,Human-in-the-loop mandatory,Yes,Yes,,,,,
