id,name,component id,component name,ABB description,candidate SBBs,Primary Pattern ID,Primary Pattern Name,2025 Enhancement
285,3-way Match Logic,121,OCR Invoice Matching,Three-way matching logic (PO/Receipt/Invoice),"SAP 3-way Match, Custom Match Logic",PT-011,Intelligent Document Processing (IDP),IDP with automated 3-way matching and confidence-based exception routing. 99% accuracy.
79,A/B Testing,35,Multi-Armed Bandit Algorithm,A/B testing platform for experimentation,"Optimizely, VWO, LaunchDarkly, Custom A/B Testing",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger with statistical significance testing (p<0.05). Multi-armed bandit optimization.
344,Adaptive Learning,148,Adaptive Assessment Generation,Adaptive learning algorithms,"IRT Models, Custom Adaptive Algorithms",PT-007,Agentic AI Pattern,Agentic AI for autonomous curriculum design with adaptive difficulty based on learner performance.
14,Agent Framework,5,Agentic AI for Partnership Banking,Framework for building and orchestrating autonomous AI agents,"LangGraph, AutoGen, CrewAI, Microsoft Semantic Kernel",PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules. Tool orchestration. Memory (short-term/long-term). 61% adoption rate.
272,Agent Framework,116,Agentic AI Orchestration,Multi-agent orchestration framework,"LangGraph, AutoGen, CrewAI",PT-008,Multi-Agent Orchestration,Multi-Agent Orchestration with specialized agents. Sequential/parallel/hierarchical patterns. Gartner: 33% of software by 2028.
92,Agent Interface,39,Agent Assist with RAG,User interface for agent-assisted interactions,"Custom Agent Desktop, Genesys Agent Desktop, Nice CXone",PT-013,Conversational AI Pattern,Conversational AI agent desktop with real-time RAG assistance. Context-aware suggestions.
18,Alert Engine,9,Anomaly Detection ML,System for generating and routing alerts,"Azure Monitor, AWS CloudWatch, PagerDuty, Opsgenie",PT-017,Observability and Monitoring Pattern,Observability alerting with drift detection. Automated thresholds. PagerDuty/Slack integration.
190,Alert Engine,79,Real-time Monitoring System,Alert generation and routing system,"PagerDuty, Opsgenie, Azure Monitor Alerts",PT-017,Observability and Monitoring Pattern,Real-time observability alerts with severity-based routing and automated escalation.
167,Alert Generation,70,ML Transaction Monitoring,Alert generation from monitoring rules and ML,"FICO Alert Generation, Custom Alert System",PT-009,Real-Time ML Scoring Pattern,Real-time transaction alerts with sub-second detection. Feature Store integration.
6,Analytics Platform,2,Predictive Analytics Engine,Comprehensive platform for data analytics and BI,"Snowflake, Power BI, Databricks",PT-014,Batch Prediction Pattern,Batch analytics with MLOps Level 2+ governance. Feature Store integration for consistent features.
177,Anomaly Detection,74,ML Anomaly Detection,ML-based anomaly detection algorithms,"Azure Anomaly Detector, AWS Lookout, Custom ML Models",PT-014,Batch Prediction Pattern,Batch anomaly detection with scheduled profiling. Observability (PT-017) dashboard integration.
13,API Gateway,7,AI Agent Data Access,Central entry point for API management and routing,"Azure API Management, AWS API Gateway, Kong, Apigee",PT-001,Enterprise AI Governance Platform,Governance API Gateway with rate limiting, authentication, and audit logging. AI request tracking.
136,API Spec Generation,57,GenAI Data Contracts,Automated API specification generation,"OpenAPI Generator, Custom LLM-based Generator",PT-012,Data Mesh Pattern,Data Mesh API contracts with automated OpenAPI spec generation. SLA and quality standards.
385,App Integration,165,Mobile SDK Integration,Mobile app integration layer,"Custom Mobile Integration, Firebase",PT-015,Event-Driven Architecture,Event-driven mobile integration with Stream Processing (PT-016) for real-time behavioral events.
331,Approval Process,142,Deal Approval Workflow,Deal approval workflow automation,"Custom Workflow, Pega, ServiceNow",PT-001,Enterprise AI Governance Platform,Governance Tier 1 approval workflows with multi-level gates. Full audit trails.
343,Assessment Engine,148,Adaptive Assessment Generation,Adaptive assessment platform,"Custom Assessment Engine, LMS Assessment",PT-007,Agentic AI Pattern,Agentic AI for autonomous assessment generation with adaptive difficulty algorithms.
96,Audio Processing,41,Speech-to-Text,Audio processing and enhancement pipeline,"Azure Speech Services, Custom Audio Processing",PT-013,Conversational AI Pattern,Voice-first Conversational AI with real-time audio processing and transcription.
319,Audit Integration,137,GRC System Integration,Integration with audit systems,"ServiceNow GRC, SAP GRC, Custom Integration",PT-001,Enterprise AI Governance Platform,Governance integration with GRC. Full audit compliance and evidence management.
