id,name,use case id,AI Solution step,description,candidate ABBs,Primary Pattern ID,Primary Pattern Name,2025 Enhancement
1,RAG (Retrieval Augmented Generation),1,1,RAG for customer insights synthesis,"Knowledge Management, Vector Database, LLM Integration",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG with hybrid search (dense + sparse) and Cohere Rerank for customer data synthesis. Implements query intent analysis and self-critique loop for quality assurance.
2,Predictive Analytics Engine,1,2,Predictive analytics for next best actions,"ML Model Serving, Feature Store, Analytics Platform",PT-009,Real-Time ML Scoring Pattern,Real-time scoring with <500ms latency using Feature Store (PT-003) dual-store architecture. Implements Champion/Challenger (PT-010) for model optimization.
3,GenAI Content Generation,1,3,GenAI for meeting prep and communication drafting,"LLM API, Prompt Engineering, Content Templates",PT-006,Multi-Model Routing,Multi-Model Routing for cost-optimized LLM selection (GPT-4 for complex, Claude for reasoning, Llama for simple tasks). 30-50% cost savings via intelligent routing.
4,Real-time Alerting with ML,1,4,Real-time alerts using ML models for relationship health monitoring,"Stream Processing, ML Model Serving, Notification Service",PT-015,Event-Driven Architecture,Event-driven alerts using Kafka with Stream Processing (PT-016) for real-time behavioral aggregation. <100ms p99 latency.
5,Agentic AI for Partnership Banking,1,5,Autonomous agent for meeting preparation and client research,"Agent Framework, Tool Registry, Memory System",PT-007,Agentic AI Pattern,Agentic AI with tool orchestration across CRM/Core Banking/Analytics APIs. Implements planning/reflection modules for autonomous overnight meeting pack generation. 2-3x productivity gains.
6,AI Governance Integration,1,6,Enterprise AI governance for compliance and audit,"Model Registry, Compliance Dashboard, Audit Trail",PT-001,Enterprise AI Governance Platform,MANDATORY governance integration with full audit trails. Model catalog with risk tier classification. Approval workflows for model deployment.
7,AI Agent Data Access,2,1,Access to data products and data models by AI agents,"Data Catalog, API Gateway, Agent Framework",PT-012,Data Mesh Pattern,Data Mesh integration for domain-oriented data product consumption via federated governance. Self-serve infrastructure for agent data access.
8,GenAI Narrative Generation,2,2,GenAI for narrative generation and variance explanations,"LLM API, Financial Templates, NLG Engine",PT-006,Multi-Model Routing,Multi-Model Routing for financial narrative generation with task-based routing (GPT-4 for complex analysis). Cost optimization via caching.
9,Anomaly Detection ML,2,3,Anomaly detection ML models for data quality checks,"ML Model Serving, Data Quality Framework, Alert Engine",PT-014,Batch Prediction Pattern,Batch anomaly detection with scheduled data quality profiling. Integrates with Observability (PT-017) for real-time alerting.
10,Automated Report Generation,2,4,Automated report generation with natural language summaries,"Report Engine, NLG, Template Manager",PT-008,Multi-Agent Orchestration,"Multi-Agent Orchestration with [Data Agent], [Reconciliation Agent], [Reporting Agent] for end-to-end report automation. 80-90% automation rate."
11,BI Visualization Integration,2,5,Integration with Power BI for visualization,"BI Connector, Data API, Visualization Service",PT-017,Observability and Monitoring Pattern,Observability dashboards with real-time KPI visualization. Integrates business metrics tracking per PT-017 standards.
12,MLOps Level 2+ Governance,2,6,Automated CI/CD for ML with governance,"ML Pipeline, Model Registry, Compliance Checks",PT-002,MLOps Level 2+ with Governance,MANDATORY MLOps Level 2+ with automated training pipeline and governance checks. Lineage tracking and compliance validation before deployment.
13,Natural Language Query (NLQ),3,1,Natural language query interface using LLMs for conversational analytics,"LLM API, Query Translation, SQL Generation",PT-013,Conversational AI Pattern,Conversational AI with multi-turn context management. Implements RAG (PT-005) over semantic layer for intelligent query generation.
14,Predictive ML Models,3,2,Predictive ML models (time series forecasting classification),"ML Model Registry, Model Serving, Feature Engineering",PT-014,Batch Prediction Pattern,Batch prediction for scheduled forecasting with Feature Store (PT-003) integration. MLOps Level 2+ (PT-002) for model lifecycle management.
15,AutoML Platform,3,3,AutoML for citizen data scientists,"AutoML Framework, Model Training, Experiment Tracking",PT-002,MLOps Level 2+ with Governance,AutoML with MLOps Level 2+ governance. Automated model training with explainability (PT-004) and bias detection integration.
16,GenAI Insight Generation,3,4,GenAI for automated insight generation and narrative explanations,"LLM API, Analytics Engine, Insight Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over analytics results for insight generation. Multi-Model Routing (PT-006) for cost optimization.
17,Semantic Layer,3,5,Semantic layer for unified data access,"Metadata Management, Data Virtualization, Business Glossary",PT-012,Data Mesh Pattern,Data Mesh semantic layer with data product catalog. Federated governance with central standards.
18,Data Ingestion Integration,3,6,Integration with Fivetran for data ingestion,"ETL/ELT Connector, Data Pipeline, Orchestration",PT-015,Event-Driven Architecture,Event-driven data ingestion with CDC (Change Data Capture). Stream Processing (PT-016) for real-time data pipeline.
19,Credit Scoring ML,4,1,Advanced ML models for credit scoring and probability of default,"ML Model Serving, Risk Models, Score Calculation",PT-009,Real-Time ML Scoring Pattern,Real-time credit scoring with <1s latency. Feature Store (PT-003) for training/serving consistency. MANDATORY for Tier 1 regulatory compliance.
