step_id,scenario_id,use_case_id,use_case_name,sequence_step,from_component,to_component,action_description,message_type,interface_id,solution_interface_id,is_sync,notes,primary_pattern_id,primary_pattern_name,pattern_step_context
1,SCN-001,1,FrontLine - Partnership Banking,1,RM Dashboard,Notification Service,RM opens dashboard and requests customer insights,Query,101,12,Sync,,PT-005,Self-Reflective RAG,Initial query step
2,SCN-001,1,FrontLine - Partnership Banking,2,Knowledge Management,Vector Database,System retrieves customer knowledge documents,Data Request,1,1,Sync,,PT-005,Self-Reflective RAG,RAG retrieval step
3,SCN-001,1,FrontLine - Partnership Banking,3,Vector Database,LLM Integration,Semantic search for relevant customer information,Search Query,2,2,Sync,,PT-005,Self-Reflective RAG,Vector search step
4,SCN-001,1,FrontLine - Partnership Banking,4,LLM Integration,LLM API,Generate contextual customer insights,Inference Request,3,3,Sync,,PT-005,Self-Reflective RAG,LLM synthesis step
5,SCN-001,1,FrontLine - Partnership Banking,5,Feature Store,ML Model Serving,Retrieve features for predictive model,Feature Vector,4,4,Sync,,PT-005,Self-Reflective RAG,Feature retrieval for context
6,SCN-001,1,FrontLine - Partnership Banking,6,ML Model Serving,Analytics Platform,Execute next best action prediction,Prediction,5,5,Sync,,PT-005,Self-Reflective RAG,Prediction enhancement step
7,SCN-001,1,FrontLine - Partnership Banking,7,Analytics Platform,Prompt Engineering,Provide analytics for prompt enhancement,Analytics Data,6,6,Sync,,PT-005,Self-Reflective RAG,Prompt refinement step
8,SCN-001,1,FrontLine - Partnership Banking,8,Prompt Engineering,Content Templates,Map prompt to content template,Template Request,7,7,Sync,,PT-005,Self-Reflective RAG,Template mapping step
9,SCN-001,1,FrontLine - Partnership Banking,9,LLM API,Content Templates,Generate meeting brief content,Generated Content,8,8,Sync,,PT-005,Self-Reflective RAG,Content generation step
10,SCN-001,1,FrontLine - Partnership Banking,10,Stream Processing,ML Model Serving,Stream real-time customer events,Event Stream,9,9,Async,,PT-005,Self-Reflective RAG,Real-time context update
11,SCN-001,1,FrontLine - Partnership Banking,11,ML Model Serving,Notification Service,Trigger relationship health alert,Alert,10,10,Async,,PT-005,Self-Reflective RAG,Alert generation step
12,SCN-001,1,FrontLine - Partnership Banking,12,Content Templates,Notification Service,Format and deliver notification,Notification,11,11,Async,,PT-005,Self-Reflective RAG,Notification delivery step
13,SCN-002,2,Finance,1,Visualization Service,Agent Framework,User requests financial visualization,Visualization Request,102,14,Sync,,PT-007,Agentic AI Pattern,Agent orchestration step
14,SCN-002,2,Finance,2,Data Catalog,API Gateway,Query data product metadata,Metadata Query,12,1,Sync,,PT-007,Agentic AI Pattern,Data discovery step
15,SCN-002,2,Finance,3,API Gateway,Agent Framework,Route request to AI agent,API Request,13,2,Sync,,PT-007,Agentic AI Pattern,Agent routing step
16,SCN-002,2,Finance,4,Agent Framework,LLM API,Agent requests financial analysis,Analysis Request,14,3,Sync,,PT-007,Agentic AI Pattern,Planning step
17,SCN-002,2,Finance,5,LLM API,NLG Engine,Generate financial narratives,Narrative Request,15,4,Sync,,PT-007,Agentic AI Pattern,Tool execution step
18,SCN-002,2,Finance,6,Financial Templates,NLG Engine,Provide report template structure,Template,16,5,Sync,,PT-007,Agentic AI Pattern,Template selection step
19,SCN-002,2,Finance,7,Data Quality Framework,ML Model Serving,Send quality metrics for anomaly check,Quality Metrics,17,6,Sync,,PT-007,Agentic AI Pattern,Quality validation step
20,SCN-002,2,Finance,8,ML Model Serving,Alert Engine,Trigger anomaly alert if detected,Anomaly Alert,18,7,Sync,,PT-007,Agentic AI Pattern,Alert generation step
21,SCN-002,2,Finance,9,NLG Engine,Report Engine,Provide narratives for report,Report Narratives,19,8,Sync,,PT-007,Agentic AI Pattern,Content synthesis step
22,SCN-002,2,Finance,10,Template Manager,Report Engine,Supply report templates,Report Templates,20,9,Sync,,PT-007,Agentic AI Pattern,Template assembly step
