interface_id,solution_interface_id,use_case_id,use_case_name,source_abb_id,source_abb_name,source_layer,target_abb_id,target_abb_name,target_layer,interface_name,interface_description,datasets_exchanged,protocol,data_format,frequency,direction,security,authentication,volume,sla_requirement,error_handling,integration_pattern,primary_pattern_id,primary_pattern_name,pattern_interface_requirements
1,1,1,FrontLine - Partnership Banking,1,Knowledge Management,Data & Knowledge Layer,2,Vector Database,Data & Knowledge Layer,Knowledge to Vector Storage,Transfers customer knowledge documents to vector database for embedding storage,"Customer profiles, Transaction history, Interaction logs, Documents",Batch,Parquet,Hourly,Unidirectional,TLS 1.3,Service Account,Medium,<5min,Retry with backoff,Batch Load,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
2,2,1,FrontLine - Partnership Banking,2,Vector Database,Data & Knowledge Layer,3,LLM Integration,Integration Layer,Vector Search Query,Retrieves semantically similar customer information using vector embeddings,"Query embeddings, Retrieved documents, Similarity scores",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,API Key,High,<100ms,Circuit breaker,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
3,3,1,FrontLine - Partnership Banking,3,LLM Integration,Integration Layer,7,LLM API,AI/ML Services Layer,LLM Inference Request,Sends prompts with context to LLM for customer insights generation,"Prompts, Context, Customer data",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<2s,Retry with timeout,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
4,4,1,FrontLine - Partnership Banking,5,Feature Store,Data & Knowledge Layer,4,ML Model Serving,AI/ML Services Layer,Feature Retrieval,Provides feature vectors for predictive model inference,"Feature vectors, Timestamps, Customer IDs",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,High,<50ms,Cache fallback,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
5,5,1,FrontLine - Partnership Banking,4,ML Model Serving,AI/ML Services Layer,6,Analytics Platform,Data & Knowledge Layer,Prediction Results,Delivers next best action predictions to analytics platform,"Predictions, Confidence scores, Model metadata",Event Stream,Avro,Real-time,Unidirectional,TLS 1.3,Service Account,High,<200ms,Dead letter queue,Event-Driven,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
6,6,1,FrontLine - Partnership Banking,6,Analytics Platform,Data & Knowledge Layer,8,Prompt Engineering,AI/ML Services Layer,Analytics Insights,Provides analytical insights for prompt enhancement,"Customer trends, Behavioral patterns, Risk indicators",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,API Key,Medium,<1s,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
7,7,1,FrontLine - Partnership Banking,8,Prompt Engineering,AI/ML Services Layer,9,Content Templates,Application Services Layer,Prompt Template Mapping,Maps engineered prompts to content generation templates,"Prompt templates, Variables, Configuration",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<500ms,Alert on failure,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
8,8,1,FrontLine - Partnership Banking,7,LLM API,AI/ML Services Layer,9,Content Templates,Application Services Layer,Generated Content,Delivers AI-generated content for template population,"Generated text, Meeting briefs, Communication drafts",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,Bearer Token,High,<3s,Retry with fallback,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
9,9,1,FrontLine - Partnership Banking,10,Stream Processing,Integration Layer,11,ML Model Serving,AI/ML Services Layer,Real-time Events,Streams customer interaction events for ML model inference,"Interaction events, Session data, Behavioral signals",Event Stream,Avro,Real-time,Unidirectional,TLS 1.3,Service Account,Very High,<50ms,Buffer overflow handling,Streaming,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
10,10,1,FrontLine - Partnership Banking,11,ML Model Serving,AI/ML Services Layer,12,Notification Service,Application Services Layer,Alert Triggers,Sends relationship health alerts requiring notification,"Alert events, Risk scores, Customer IDs, Priority levels",Message Queue,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,Medium,<1s,Dead letter queue,Publish/Subscribe,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
11,11,1,FrontLine - Partnership Banking,9,Content Templates,Application Services Layer,12,Notification Service,Application Services Layer,Formatted Messages,Provides formatted notification content for delivery,"Formatted messages, Recipient lists, Delivery preferences",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Medium,<500ms,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
12,1,2,Finance,13,Data Catalog,Data & Knowledge Layer,14,API Gateway,Integration Layer,Metadata Query,Provides data product metadata to API gateway for routing,"Dataset schemas, Data lineage, Access permissions",REST API,JSON,On-demand,Bidirectional,OAuth 2.0,API Key,Low,<200ms,Cache with TTL,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
