use_case_id,use_case_name,estimated_cost,timeline,complexity,priority_score,wsjf_business_value,wsjf_time_criticality,wsjf_risk_reduction,wsjf_job_size,wsjf_score,cost_breakdown,primary_pattern_id,pattern_complexity_factor,2025_cost_considerations
1,FrontLine - Partnership Banking,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-005,Medium,"2025 Cost: RAG infrastructure (vector DB + embeddings). Feature Store licensing. LLM API costs (token-based). Agentic AI compute. Observability infrastructure."
2,Finance,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-007,Medium,"2025 Cost: Multi-Agent orchestration platform. Data Mesh infrastructure. NLG/LLM API costs. Report generation compute. Observability tooling."
3,Analytics and Reporting,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-005,Medium,"2025 Cost: RAG + Text-to-SQL infrastructure. MLOps platform licensing. AutoML compute. Data virtualization. Semantic layer tooling."
4,Credit Risk,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-009,High,"2025 REGULATORY Cost: Real-time scoring infrastructure (<1s SLA). MANDATORY Explainability tooling (SHAP/LIME). Feature Store dual-store. Model monitoring. Audit infrastructure."
5,Lending Ops,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-011,Medium,"2025 Cost: IDP platform (OCR + NLP). Multi-modal processing. Human-in-the-loop workflows. Document storage. RPA integration."
6,HyperPersonalization,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-006,High,"2025 Cost: Multi-Model Routing infrastructure. Real-time decisioning (<100ms). Feature Store (online + offline). CDP integration. A/B testing platform."
7,Contact Centre,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-013,Medium,"2025 Cost: Conversational AI platform. Speech-to-text processing. RAG infrastructure. Sentiment analysis. Agent assist tooling."
8,Security AI,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-009,High,"2025 Cost: Real-time threat detection (<100ms). Stream processing infrastructure. SIEM integration. UEBA platform. Security observability."
9,Data Products,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-012,Medium,"2025 Cost: Data Mesh platform. Metadata management. Lineage tracking. Quality automation. GenAI for documentation."
10,SDLC,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-007,Medium,"2025 Cost: AI code assistant licensing. Security scanning tools. Test generation. CI/CD integration. Human-in-the-loop workflows."
11,Fincrime,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-009,High,"2025 REGULATORY Cost: Real-time transaction monitoring. MANDATORY Explainability. Network analysis infrastructure. SAR generation. Investigation platform."
