use_case_id,use_case_name,platform,data_sources,ai_type,deployment,estimated_users,abb_count,interface_count,layer_count,primary_pattern_id,primary_pattern_name,2025_pattern_metrics
1,FrontLine - Partnership Banking,"Colleague Digital
Conversational Banking
Customer Engagment
Enterprise Information Management","Customer profiles, transaction history, interaction logs, product holdings, financial statements, market data, relationship tenure, communication preferences, calendar/meeting data, CRM records",Embedded/Vendor AI (in commercial software),,0+ users,13,17,5,PT-005,Self-Reflective RAG,"2025 Metrics: RAG retrieval accuracy >90%. Feature Store latency <10ms. Agentic AI task completion >95%. Vector DB HNSW recall >95%."
2,Finance,"Finance
Data & Analytics
Enterprise Reporting
Regulatory Reporting","General ledger data, trial balance, chart of accounts, transaction records, budget data, prior period financials, cost center allocations, journal entries, reconciliation records, regulatory filings",,,0+ users,15,19,5,PT-007,Agentic AI Pattern,"2025 Metrics: Multi-Agent coordination >95%. Financial narrative accuracy >95%. Anomaly detection F1 >90%. Report generation <5min."
3,Analytics and Reporting,"Data & Analytics
Enterprise Reporting
Regulatory Reporting
Data & Information Protection","Historical transaction data, customer behavior patterns, product performance metrics, operational KPIs, market indicators, seasonal trends, external economic data, business rules, dimensional models",,,0+ users,19,27,5,PT-005,Self-Reflective RAG,"2025 Metrics: Text-to-SQL accuracy >90%. Query latency <3s. Prediction accuracy >85%. Self-service adoption >60%."
4,Credit Risk,"Credit Modelling, Pricing & Decisioning
Group Credit Risk","Credit applications, financial statements, credit bureau reports, payment history, debt-to-income ratios, collateral valuations, industry sector data, macroeconomic indicators, existing exposure data, behavioral data, credit policies",,,0+ users,19,26,5,PT-009,Real-Time ML Scoring,"2025 REGULATORY Metrics: Scoring latency <1s (p99). Model AUC >0.85. 100% explainability coverage. Drift detection <1hr. Feature Store <50ms."
5,Lending Ops,"Lending origination
Enterprise Information Management (DocMan)","Loan applications (PDFs/scans), identity documents, income verification documents, property valuations, legal contracts, compliance checklists, settlement documents, supporting financial records, email communications",,,0+ users,19,18,4,PT-011,Intelligent Document Processing,"2025 Metrics: IDP extraction accuracy >95%. Document classification >98%. STP rate >70%. Exception rate <30%."
6,HyperPersonalization,"Customer Digital
Customer Engagement
Marketing & Campaign management","Customer demographics, transaction patterns, channel preferences, life events, product usage data, browsing behavior, campaign response history, sentiment analysis, external context (weather/events), real-time triggers",Generative AI (content creation),,0+ users,22,25,5,PT-006,Multi-Model Routing,"2025 Metrics: Real-time decisioning <100ms (p95). Feature Store <10ms. A/B lift >10%. Recommendation relevance >85%."
7,Contact Centre,Conversational Banking,"Call transcripts, chat logs, customer history, IVR interactions, knowledge base articles, product documentation, agent notes, escalation records, sentiment signals, hold time data, resolution outcomes",Embedded/Vendor AI (in commercial software),Unclear at this time,0+ users,15,13,4,PT-013,Conversational AI Pattern,"2025 Metrics: Conversation accuracy >90%. First call resolution >75%. Agent assist usage >80%. CSAT improvement >10%."
8,Security AI,"Cyber Threat Intelligence Detection and Response
Enterprise Data and Information Protection
Application & Infrastructure Protection
Core Network Management","Network traffic logs, endpoint activity, authentication events, firewall logs, SIEM alerts, vulnerability scans, user behavior patterns, threat intelligence feeds, system configurations, access logs, email metadata, DNS queries",,,0+ users,16,15,5,PT-009,Real-Time ML Scoring,"2025 Metrics: Detection latency <100ms. False positive rate <20%. Threat detection rate >95%. MTTR <30min."
9,Data Products,"Data & Analytics
Enterprise Rerporting
Regulatory Reporting","Business requirements, data source metadata, schema definitions, data quality rules, data lineage, existing data models, governance policies, user access patterns, data catalog content, technical documentation",Generative AI (content creation),,0+ users,14,13,4,PT-012,Data Mesh Pattern,"2025 Metrics: Data product TTM <2wks. Quality SLA >95%. Metadata coverage >90%. Consumer adoption >70%."
10,SDLC,Engineering Automation & Software,"Source code repositories, user stories, requirements documents, design specifications, test cases, deployment logs, code review comments, security scan results, performance metrics, dependency manifests, architecture diagrams",Dev/Code AI,Real-time inference,0+ users,17,11,4,PT-007,Agentic AI Pattern,"2025 Metrics: Code suggestion acceptance >40%. Security detection >90%. Test coverage >80%. 100% human review compliance."
