use_case_id,use_case_name,team_composition,critical_skills,total_fte_estimate,primary_pattern_id,pattern_specific_skills,2025_skill_requirements
1,FrontLine - Partnership Banking,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-005,"RAG architecture | Vector DB management | LLM prompt engineering | Feature Store implementation | Agentic AI development","2025 Skills: Self-Reflective RAG implementation. Hybrid search (dense+sparse). Cohere Rerank integration. Agentic AI with planning/reflection. OpenTelemetry observability."
2,Finance,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-007,"Agentic AI architecture | Multi-Agent orchestration | NLG development | Financial domain expertise | Data Mesh implementation","2025 Skills: Multi-Agent orchestration (LangGraph/CrewAI). Agent coordination. Financial narrative generation. Data Mesh federated ownership. Anomaly detection ML."
3,Analytics and Reporting,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-005,"Text-to-SQL development | MLOps platform management | AutoML configuration | Semantic layer design | Data virtualization","2025 Skills: Self-Reflective RAG with Text-to-SQL. Query validation. MLOps Level 2+ implementation. AutoML framework. Semantic layer architecture."
4,Credit Risk,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-009,"Real-time ML inference | XAI implementation (SHAP/LIME) | Credit risk modeling | Feature Store dual-store | MLOps with drift detection","2025 REGULATORY Skills: Real-time scoring (<1s). MANDATORY SHAP/LIME explainability. Credit risk ML. Feature Store dual-store architecture. Automated drift detection."
5,Lending Ops,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-011,"OCR/IDP implementation | Multi-modal AI (text+vision) | NLP document classification | RPA integration | Human-in-the-loop workflow","2025 Skills: Multi-modal IDP (Azure Document Intelligence). NER for financial documents. Classification model development. Exception workflow design. Document quality ML."
6,HyperPersonalization,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-006,"Multi-Model Routing architecture | Real-time ML serving | A/B testing platforms | CDP integration | Journey orchestration","2025 Skills: Multi-Model Routing (Semantic Router). Real-time decisioning (<100ms). Champion/Challenger implementation. Feature Store online serving (<10ms). Event-driven architecture."
7,Contact Centre,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-013,"Conversational AI development | Speech-to-text integration | RAG for knowledge retrieval | Sentiment analysis | Agent assist UX","2025 Skills: Conversational AI with multi-turn dialogue. Self-Reflective RAG for knowledge. Multi-Model routing (speech/text/sentiment). Real-time sentiment analysis. Agent assist interfaces."
8,Security AI,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-009,"Real-time threat detection | SIEM integration | UEBA development | Stream processing | Security playbook automation","2025 Skills: Real-time ML threat detection (<100ms). UEBA behavioral modeling. Event-Driven + Stream Processing. Automated playbook development. Security observability."
9,Data Products,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-012,"Data Mesh architecture | Metadata management | Data quality automation | Lineage tracking | GenAI documentation","2025 Skills: Data Mesh federated architecture. Automated metadata tagging. Data quality ML models. Lineage graph implementation. GenAI for documentation."
10,SDLC,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-007,"AI code assistant development | Security scanning integration | Test generation AI | CI/CD automation | Multi-Model routing","2025 Skills: Agentic AI for code review. Multi-Model routing (code/test/security). Security scanning integration. MANDATORY human-in-the-loop workflow. AI-assisted documentation."
11,Fincrime,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-009,"Transaction monitoring ML | Network/graph analytics | XAI for AML | SAR narrative generation | Investigation workflow","2025 REGULATORY Skills: Real-time transaction monitoring. Graph analytics for network detection. MANDATORY SHAP/LIME explainability. Self-Reflective RAG for SAR narratives. Case management integration."
