use_case_id,use_case_name,business_metrics,technical_metrics,primary_pattern_id,pattern_specific_metrics,2025_success_criteria
1,FrontLine - Partnership Banking,Increased revenue through improved cross-sell/upsell effectiveness | Enhanced customer satisfaction and retention | Reduced relationship manager preparation time | Improved customer lifetime value | Better risk identification and proactive engagement.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-005,"RAG retrieval accuracy: >90% | Feature Store latency: <10ms (p95) | Agentic AI task completion: >95% | Hallucination rate: <5%","2025 Success: Self-Reflective RAG accuracy >90%. Feature Store online <10ms. Agentic AI autonomous task completion >95%. User satisfaction with AI assist >85%."
2,Finance,Reduced month-end close time | Improved accuracy and reduced manual errors | Faster decision-making with real-time insights | Enhanced regulatory compliance | Reduced FTE costs in financial reporting.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-007,"Multi-Agent coordination: >95% success | Financial narrative accuracy: >95% | Anomaly detection precision: >90% | Report generation time: <5min","2025 Success: Multi-Agent task completion >95%. Financial narrative accuracy >95%. Anomaly detection F1 >90%. Month-end close reduction >30%."
3,Analytics and Reporting,Democratized data access reducing analyst dependency | Proactive decision-making with predictive capabilities | Reduced report generation time from days to minutes | Improved business agility and responsiveness | Enhanced data-driven culture across organization.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-005,"Text-to-SQL accuracy: >90% | Query latency: <3s | Prediction accuracy: >85% | Insight relevance: >90%","2025 Success: Text-to-SQL accuracy >90%. Query response <3s. MLOps model drift detection <24hrs. User self-service adoption >60%."
4,Credit Risk,Reduced credit losses through better risk assessment | Faster loan approval times improving customer experience | Optimized pricing increasing profitability | Enhanced portfolio monitoring reducing defaults | Improved regulatory compliance and capital efficiency.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-009,"Scoring latency: <1s (p99) | Model AUC: >0.85 | Explainability coverage: 100% | Drift detection: <1hr | Feature Store latency: <50ms","2025 REGULATORY Success: Scoring latency <1s. MANDATORY 100% explainability coverage. Model AUC >0.85. Drift detection <1hr. Zero regulatory findings."
5,Lending Ops,Processing time reduction for loan applications | Improved accuracy reducing rework | Enhanced compliance with automated validation | Reduced operational costs | Faster time-to-yes improving customer satisfaction,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-011,"IDP extraction accuracy: >95% | Document classification: >98% | STP rate: >70% | Exception rate: <30%","2025 Success: IDP extraction accuracy >95%. Document classification >98%. Straight-through processing >70%. Processing time reduction >50%."
6,HyperPersonalization,Increased campaign conversion rates | Higher customer engagement and satisfaction scores | Improved product adoption | Reduced customer churn | Enhanced brand loyalty and NPS scores,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-006,"Real-time decisioning: <100ms (p95) | Feature Store latency: <10ms | A/B test lift: >10% | Recommendation relevance: >85%","2025 Success: Real-time decisioning <100ms. Feature Store <10ms. Champion/Challenger lift >10%. Personalization relevance >85%. Conversion increase >20%."
7,Contact Centre,Reduced average handle time | Improved first call resolution | Enhanced customer satisfaction (CSAT) scores | Reduced agent training time | Lower operational costs through automation of inquiries,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-013,"Conversation accuracy: >90% | First call resolution: >75% | Agent assist usage: >80% | CSAT improvement: >10%","2025 Success: Conversational AI accuracy >90%. Self-Reflective RAG accuracy >90%. First call resolution >75%. AHT reduction >20%. CSAT improvement >10%."
8,Security AI,Reduced threat detection time from hours to minutes | reduction in false positives | Prevented potential losses from cyber attacks | Enhanced regulatory compliance and risk management | Improved security team efficiency.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-009,"Detection latency: <100ms | False positive rate: <20% | Threat detection rate: >95% | MTTR: <30min","2025 Success: Threat detection <100ms. False positive reduction >40%. Threat detection rate >95%. MTTR <30min. Zero major breaches."
9,Data Products,Accelerated data product delivery | Improved data quality and consistency | Enhanced data discoverability and reusability | Reduced time-to-insight for business users | Lower data engineering costs.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-012,"Data product time-to-market: <2wks | Quality SLA compliance: >95% | Metadata coverage: >90% | Consumer adoption: >70%","2025 Success: Data product delivery <2 weeks. Quality SLA >95%. Automated metadata tagging >90%. Consumer self-service >70%."
10,SDLC,Developer productivity increased | Faster time-to-market | Reduced bugs and security vulnerabilities | Improved code quality and maintainability | Lower technical debt accumulation.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-007,"Code suggestion acceptance: >40% | Security issue detection: >90% | Test generation coverage: >80% | Human review compliance: 100%","2025 Success: Code suggestion acceptance >40%. Security vulnerability detection >90%. MANDATORY 100% human review compliance. Productivity increase >20%."
