use_case_id,use_case_name,category,ai_type,value,description,improved_description,benefits,enterprise_architect,primary_pattern_ids,primary_pattern_names,2025_architecture_alignment
1,FrontLine - Partnership Banking,Customer & Relationship Management,Embedded/Vendor AI (in commercial software),High,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.","AI-powered relationship management tool that helps relationship managers strengthen customer connections through intelligent insights, automated meeting preparation, personalized recommendations, and proactive engagement strategies.",Increased revenue through improved cross-sell/upsell effectiveness; Enhanced customer satisfaction and retention; Reduced relationship manager preparation time; Improved customer lifetime value; Better risk identification and proactive engagement.,"Shawn Cawood
Dan Barratt
Hugh Walcott (knowledge)
Sarah Amundsen (customer engagement)","PT-005,PT-007,PT-003,PT-001,PT-017","Self-Reflective RAG,Agentic AI Pattern,Feature Store Dual-Store,Enterprise AI Governance,Observability and Monitoring","2025 Self-Reflective RAG with hybrid search (dense+sparse) and Cohere Rerank for customer insights synthesis. Agentic AI for autonomous meeting preparation with planning/reflection modules. Feature Store dual-store (<10ms online) for real-time customer features. Full governance via PT-001 Model Registry."
2,Finance,Finance & Accounting,,High,"Transform raw financial data into well-structured reports (e.g., P&L, balance sheets, variance analysis)","AI-augmented financial reporting system that automatically transforms raw financial data into comprehensive reports including P&L statements, balance sheets, and variance analysis with intelligent narrative explanations and anomaly detection.",Reduced month-end close time; Improved accuracy and reduced manual errors; Faster decision-making with real-time insights; Enhanced regulatory compliance; Reduced FTE costs in financial reporting.,"Brian Stapleton
Tracey Davis","PT-007,PT-012,PT-017,PT-001","Agentic AI Pattern,Data Mesh Pattern,Observability and Monitoring,Enterprise AI Governance","2025 Multi-Agent financial analysis with specialized agents for P&L generation, anomaly detection, and narrative creation. Data Mesh integration for federated financial data products. Full observability with OpenTelemetry. Governance controls for regulatory compliance."
3,Analytics and Reporting,Data & Analytics,,High,"AI builds on BI by turning historical data into proactive guidance, predictions, and optimisation","Natural language analytics platform that enables users to query data conversationally, receive predictive insights and forecasts, and get automated recommendations—transforming reactive reporting into proactive decision-making.",Democratized data access reducing analyst dependency; Proactive decision-making with predictive capabilities; Reduced report generation time from days to minutes; Improved business agility and responsiveness; Enhanced data-driven culture across organization.,Tracey Davis,"PT-005,PT-002,PT-012,PT-017,PT-001","Self-Reflective RAG,MLOps Level 2+,Data Mesh Pattern,Observability and Monitoring,Enterprise AI Governance","2025 Self-Reflective RAG with Text-to-SQL for natural language queries. MLOps Level 2+ for automated model retraining. Data Mesh for federated analytics. Champion/Challenger for model performance optimization. Full governance and observability."
4,Credit Risk,Risk Management,,High,"GenAI-driven Credit Risk solutions empower banks with data-driven decision-making, operational efficiency, and risk-optimized lending. By integrating AI into credit risk processes  banks can accelerate approvals, improve risk monitoring and credit portfolio management thereby driving profitability while ensuring compliance and customer-centric services.","AI-driven credit assessment platform that accelerates loan approvals through advanced risk scoring, alternative data analysis, and explainable credit decisions—enabling faster approvals, better risk pricing, and continuous portfolio monitoring.",Reduced credit losses through better risk assessment; Faster loan approval times improving customer experience; Optimized pricing increasing profitability; Enhanced portfolio monitoring reducing defaults; Improved regulatory compliance and capital efficiency.,Paul Furkert,"PT-009,PT-004,PT-003,PT-002,PT-001,PT-017,PT-018","Real-Time ML Scoring,ML Model Explainability,Feature Store Dual-Store,MLOps Level 2+,Enterprise AI Governance,Observability and Monitoring,Security and Privacy","MANDATORY Tier 1 REGULATORY: Real-Time Scoring (PT-009) with <1s latency. MANDATORY Explainability (PT-004) with SHAP/LIME for regulatory compliance. Feature Store dual-store for credit features. MLOps Level 2+ with automated drift detection. Full governance audit trail."
5,Lending Ops,Lending & Credit Operations,,High,"AI Document Processing for Loan Applications & Compliance , credit assesment post settlement checks","Intelligent document processing system that automates loan application handling through AI-powered data extraction, validation, and compliance checking—reducing processing time, improving accuracy, and accelerating customer approvals.",Processing time reduction for loan applications; Improved accuracy reducing rework; Enhanced compliance with automated validation; Reduced operational costs; Faster time-to-yes improving customer satisfaction,Paul Furkert/Angus Cotton,"PT-011,PT-007,PT-002,PT-001,PT-017","Intelligent Document Processing,Agentic AI Pattern,MLOps Level 2+,Enterprise AI Governance,Observability and Monitoring","2025 Intelligent Document Processing (PT-011) with multi-modal extraction (text+vision). Agentic AI for autonomous document routing and validation. Human-in-the-loop for exception handling. MLOps Level 2+ for continuous IDP model improvement."
6,HyperPersonalization,Marketing & Personalization,Generative AI (content creation),High,"Generative AI enables new customer relevance through a reinvention of marketing, sales, and service experiences","Real-time personalization engine that delivers individualized customer experiences through AI-generated content, dynamic offers, and predictive recommendations—creating relevant interactions at every touchpoint to drive engagement and conversion.",Increased campaign conversion rates; Higher customer engagement and satisfaction scores; Improved product adoption; Reduced customer churn; Enhanced brand loyalty and NPS scores,Corina Elama,"PT-006,PT-010,PT-003,PT-015,PT-001,PT-017","Multi-Model Routing,Champion/Challenger Testing,Feature Store Dual-Store,Event-Driven Architecture,Enterprise AI Governance,Observability and Monitoring","2025 Multi-Model Routing (PT-006) for optimal LLM selection per personalization task. Champion/Challenger (PT-010) for continuous A/B optimization. Feature Store for real-time customer features (<10ms). Event-Driven Architecture for real-time personalization triggers."
7,Contact Centre,Customer Service & Support,Embedded/Vendor AI (in commercial software),High,"Generate a call summary, using the captured transcription of each call. Agent-assist features, surfacing relevent knowlege and customer information, based on the realtime call. Customer-assist self-service features, enabling an natural and open conversaitons using a Conversational AI tool","AI-powered contact center solution featuring conversational virtual agents for self-service, real-time agent assistance with intelligent knowledge surfacing, automated call summarization, and smart routing—reducing handle time while improving resolution rates and customer satisfaction.",Reduced average handle time; Improved first call resolution; Enhanced customer satisfaction (CSAT) scores; Reduced agent training time; Lower operational costs through automation of inquiries,Dan Barratt,"PT-013,PT-005,PT-006,PT-017,PT-001","Conversational AI Pattern,Self-Reflective RAG,Multi-Model Routing,Observability and Monitoring,Enterprise AI Governance","2025 Conversational AI (PT-013) with multi-turn dialogue management. Self-Reflective RAG for knowledge retrieval and answer generation. Multi-Model Routing for speech vs text vs sentiment models. Real-time sentiment analysis. Full conversation observability."
8,Security AI,Cybersecurity & Threat Detection,,High,"use of AI to identify threats earlier and with higher accuracy than traditional tools by analysing large volumes of network, endpoint, and user data in real time","AI-driven security operations platform that analyzes network, endpoint, and user behavior in real-time to detect threats faster and more accurately than traditional tools—reducing detection time, preventing breaches, and minimizing false positives.",Reduced threat detection time from hours to minutes; reduction in false positives; Prevented potential losses from cyber attacks; Enhanced regulatory compliance and risk management; Improved security team efficiency.,"Francis Kataino
Mike Thompson
John Marshall","PT-009,PT-015,PT-016,PT-017,PT-018,PT-001","Real-Time ML Scoring,Event-Driven Architecture,Stream Processing,Observability and Monitoring,Security and Privacy,Enterprise AI Governance","2025 Real-Time ML Scoring (PT-009) for threat detection with <100ms latency. Event-Driven + Stream Processing for continuous security monitoring. UEBA with behavioral baselines. Full security observability. Privacy-preserving threat analysis."
9,Data Products,Data & Analytics,Generative AI (content creation),High,Extend GenAI intervention to accelerate data product creation,"AI-accelerated data product platform that automates data pipeline creation, documentation, and quality validation using GenAI—reducing development time, improving data consistency, and enhancing discoverability for faster time-to-insight.",Accelerated data product delivery; Improved data quality and consistency; Enhanced data discoverability and reusability; Reduced time-to-insight for business users; Lower data engineering costs.,Tracey Davis,"PT-012,PT-007,PT-002,PT-017,PT-001","Data Mesh Pattern,Agentic AI Pattern,MLOps Level 2+,Observability and Monitoring,Enterprise AI Governance","2025 Data Mesh (PT-012) for federated data product ownership. Agentic AI for automated data pipeline generation and documentation. GenAI for metadata auto-tagging and discovery. MLOps Level 2+ for data quality model management."
10,SDLC,Software Development & Engineering,Dev/Code AI,High,"GenAI can automate key SDLC tasks, enhancing productivity, and reducing costs. By integrating GenAI, banks can accelerate time-to-market, improve code quality, enhance security, and reduce development overhead","AI-powered development platform that enhances developer productivity through intelligent code generation, automated testing, security analysis, and documentation—accelerating delivery, improving code quality, and reducing technical debt across 500+ domain teams.",Developer productivity increased; Faster time-to-market; Reduced bugs and security vulnerabilities; Improved code quality and maintainability; Lower technical debt accumulation.,Glenn Bellam,"PT-007,PT-006,PT-002,PT-017,PT-018,PT-001","Agentic AI Pattern,Multi-Model Routing,MLOps Level 2+,Observability and Monitoring,Security and Privacy,Enterprise AI Governance","2025 Agentic AI (PT-007) for autonomous code generation with planning/reflection. Multi-Model Routing for code vs test vs security analysis models. Human-in-the-loop mandatory for code review. Security scanning integrated. Full SDLC observability."
