use_case_id,use_case_name,external_systems,data_volume_metrics,performance_targets,primary_pattern_id,primary_pattern_name,2025_performance_requirements
1,FrontLine - Partnership Banking,Colleague Digital | Conversational Banking | Customer Engagment | Enterprise Information Management,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-005,Self-Reflective RAG,"2025 Performance: RAG response <2s. Feature Store <10ms online retrieval. Vector search <100ms. Agentic AI task <5s."
2,Finance,Finance | Data & Analytics | Enterprise Reporting | Regulatory Reporting,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-007,Agentic AI Pattern,"2025 Performance: Multi-Agent coordination <10s. Financial report generation <5min. Anomaly detection <1s. Data Mesh query <3s."
3,Analytics and Reporting,Data & Analytics | Enterprise Reporting | Regulatory Reporting | Data & Information Protection,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-005,Self-Reflective RAG,"2025 Performance: Text-to-SQL <3s. Prediction serving <500ms. Model training <4hrs. Semantic search <200ms."
4,Credit Risk,Credit Modelling | Pricing & Decisioning | Group Credit Risk,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-009,Real-Time ML Scoring,"2025 REGULATORY Performance: Scoring latency <1s (p99). Feature Store <50ms. Explainability <500ms. Drift detection real-time."
5,Lending Ops,Lending origination | Enterprise Information Management (DocMan),100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-011,Intelligent Document Processing,"2025 Performance: IDP extraction <30s/page. Classification <1s. Validation <5s. Workflow routing <2s."
6,HyperPersonalization,Customer Digital | Customer Engagement | Marketing & Campaign management,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-006,Multi-Model Routing,"2025 Performance: Real-time decisioning <100ms. Feature Store <10ms. Model routing <50ms. Content generation <2s."
7,Contact Centre,Conversational Banking,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-013,Conversational AI Pattern,"2025 Performance: Speech-to-text real-time. RAG retrieval <500ms. Response generation <2s. Sentiment analysis real-time."
8,Security AI,Cyber Threat Intelligence Detection and Response | Enterprise Data and Information Protection | Application & Infrastructure Protection | Core Network Management,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-009,Real-Time ML Scoring,"2025 Performance: Threat detection <100ms. UEBA scoring <200ms. Stream processing real-time. Alert correlation <1s."
9,Data Products,Data & Analytics | Enterprise Rerporting | Regulatory Reporting,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-012,Data Mesh Pattern,"2025 Performance: Data product publishing <1hr. Quality validation <5min. Metadata tagging <1min. Lineage computation <30s."
10,SDLC,Engineering Automation & Software,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-007,Agentic AI Pattern,"2025 Performance: Code suggestion <2s. Security scan <5min. Test generation <1min. Review automation <30s."
11,Fincrime,FinCrime & Fraud | Customer Master | Domestic Payments | International Payments | Transaction Switch,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-009,Real-Time ML Scoring,"2025 REGULATORY Performance: Transaction monitoring real-time. Alert generation <1s. Explainability <500ms. SAR generation <5min."
12,QA/QC,Process | Worklfow and Workforce Automation | Governance | Operational Risk & Compliance | Regulatory Reporting,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-014,Batch Prediction Pattern,"2025 Performance: Batch prediction <2hrs. Test execution <1hr. Quality validation <30min. Report generation <10min."
13,Fraud Ops,FinCrime & Fraud | Customer Master | Domestic Payments | International Payments | Transaction Switch,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-009,Real-Time ML Scoring,"2025 Performance: Fraud detection <100ms. Behavioral analysis real-time. Graph query <500ms. Case creation <2s."
14,Onboarding,Customer Digital | Customer & Party Lifecycle Management | Customer & Party Master | Enterprise Information Management,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-011,Intelligent Document Processing,"2025 REGULATORY Performance: ID verification <5s. Liveness detection <3s. Risk scoring <2s. KYC decision <30s."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",Governance | Op Risk | Compliance | Treasury Risk | Group Credit Risk | Regulatory Reporting,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-004,ML Model Explainability,"2025 REGULATORY Performance: Risk calculation <30s. Scenario analysis <5min. Explainability <1s. Regulatory report <10min."
16,IT Ops - IT Operations  -,IT Asset | Assurance & Service Management | Operational Observability,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-007,Agentic AI Pattern,"2025 Performance: Anomaly detection <1min. Root cause analysis <5min. Auto-remediation <2min. Ticket classification <5s."
17,FrontLine - CIB,Colleague Digital | Conversational Banking | Customer Engagment | Enterprise Information Management | Money Markets,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-005,Self-Reflective RAG,"2025 Performance: Market intelligence retrieval <2s. Feature Store <10ms. Pitch generation <30s. Deal search <5s."
18,Procurement,Procurement | Finance | People & Culture,100K records | 10M transactions/yr | 500GB data | 5K interactions/day,<2s response time | 99.5% uptime | 200 concurrent users | <500ms latency (p95),PT-008,Multi-Agent Orchestration,"2025 Performance: Multi-Agent workflow <2min. Contract extraction <1min. Vendor matching <30s. Approval routing <5s."
