use_case_id,use_case_name,theme_customer_experience,theme_operational_excellence,theme_risk_management,theme_data_analytics,primary_theme,alignment_score,strategic_priority
UC-001,Partnership Banking,5,2,2,3,Customer Experience,5,High
UC-002,Finance,1,5,2,3,Operational Excellence,5,Medium
UC-003,Analytics and Reporting,2,3,1,5,Data & Analytics,5,Medium
UC-004,Credit Risk,2,3,5,3,Risk Management,5,Critical
UC-005,Lending Ops,3,5,2,2,Operational Excellence,5,Medium
UC-006,HyperPersonalization,5,2,1,3,Customer Experience,5,High
UC-007,Contact Centre,5,4,1,2,Customer Experience,5,Medium
UC-008,Security AI,1,3,5,2,Risk Management,5,High
UC-009,Data Products,2,4,2,5,Data & Analytics,5,High
UC-010,SDLC,1,5,2,2,Operational Excellence,5,Medium
UC-011,Fincrime,1,3,5,2,Risk Management,5,Critical
