#,Business Capability,Functional Domain,User Goal,Shortlist,Customer Reference,Business Impact,BNZ Alignments
22,Customer Experience,Customer Service,Call Center Analytics,Y,NatWest (real-time call center analytics),"Streamline customer service, direct employees to higher-value tasks","Amazon Connect integration, customer experience focus"
23,Customer Experience,Customer Service,Caller Intent ,Y,Lyft [non-FSI],"87% reduction in average resolution time, 50%+ requests resolved under 3 minutes, 70% growth in driver usage, 24/7 availability for 40M+ riders and 1M+ drivers",Amazon Connect integration opportunity; production-scale conversational AI handling millions of users with strict SLA requirements applicable to banking customer service transformation
24,Customer Experience,Customer Service,Conversational Self-Service Access,,Innovaccer [non-FSI],"Cut routine call volumes, sped up scheduling through HIPAA-compliant conversational experience using AgentCore",AgentCore implementation in highly regulated industry with strict data privacy requirements applicable to banking compliance environments
28,Customer Experience,Customer Service,Customer-Facing Chatbot,Y,Remitly (customer facing chatbot),Personalized interactions across channels enabling efficient resolution,"Digital-first strategy, 24/7 customer service"
25,Customer Experience,Customer Service,Email Classification & Response,,Parameta (weeks to days resolution time),Automated email processing with specialized prompts for classification,"Operational efficiency, speed objectives"
26,Customer Experience,Customer Service,Email Triage & Response,Y,Jefferies (email triage and response),"Improve response times, enhance customer service","Operational efficiency, customer experience"
29,Customer Experience,Customer Service,Hyper-Personalized Service,,"Rocket Mortgage (70% first-call resolution, 33% lead conversion increase)",AI-powered chatbots with context-aware responses across channels,"Mobile-first strategy, customer experience transformation"
30,Customer Experience,Customer Service,Multi-Channel Communications Hub,Y,"Healthcare ISV (40M patient visits, 200M messages annually)","Transform routine interactions into meaningful connections, 24/7 availability","Leverages existing Amazon Connect deployment, addresses ""best small bank"" goal"
27,Customer Experience,Customer Service,Post-Call Analytics,,Rocket Companies (post call analytics),"Improve call quality, enhance training, identify trends","Customer experience, operational improvement"
31,Customer Experience,Customer Service,Proactive Customer Assistance,Y,MUFG (Corporate sales lead generation),Predictive outreach for churn prevention and product recommendations,Home lending churn/propensity priority domain
20,Customer Experience,Marketing & Sales Automation,Campaign Orchestration,Y,"Epsilon (30% reduced setup time, 20% increased personalization, 8 hours saved per week)","Automate campaign design, audience targeting, and real-time optimization across channels","Customer targeting and personalization, digital channel optimization"
21,Customer Experience,Marketing & Sales Automation,Multi-Channel Campaign Optimization,,BlueOcean [non-FSI],"97% operational improvement reducing 5-day tasks to 2 hours, 66-96% lower marketing analytics costs, 4x faster marketing investment payback",Multi-agent workflow coordination applicable to banking marketing campaigns and customer acquisition
