ID,Name,Description,Use Cases,Direction,Source,Destination,Volume,Frequency,Format,Interface Status,BIAN Domain
DS-001,Customer Profile Data,Customer relationship and interaction data from CRM,"UC-001, UC-006, UC-007, UC-014, UC-017, UC-023, UC-024",Input,Salesforce CRM / CRM System,Various AI Platforms,Large,Real-time,JSON via API,Ready/Requires Work,Customer Management
DS-002,Transaction History,Banking transaction and account balance data,"UC-001, UC-002, UC-004, UC-006, UC-011, UC-013, UC-019, UC-023, UC-024",Input/Both,Core Banking / Payment Systems,Various AI Platforms,Very large,Real-time,JSON via API,Ready/Requires Work,Account Management
DS-003,Loan History / Credit Data,Lending portfolio and credit assessment data,"UC-001, UC-004, UC-005, UC-021",Input,Lending Platform / Credit Systems,Various AI Platforms,Large,Batch daily/Real-time,JSON,Ready/Requires Work,Loans and Deposits
DS-004,Investment Portfolio Data,Investment account and performance data,UC-001,Input,Investment Platform,AI Platform,Large,Real-time,JSON,Ready,Investment Management
DS-005,Market Data,Stock prices economic indicators and benchmarks,"UC-001, UC-003, UC-017, UC-021",Input,Market Data Systems / External Providers,Various AI Platforms,Streaming/Large,Real-time,JSON,Requires Work,Market Data
DS-006,News and Media Data,Company news and industry trends,"UC-001, UC-011",Input,News & Media / External Feeds,AI Platform,Streaming,Real-time,RSS/API/JSON,Requires Work,Market Data
DS-007,LinkedIn Professional Profile,Client professional profile and company updates,UC-001,Input,LinkedIn,AI Platform,On-demand,On-demand,API,Ready,Party
DS-008,Meeting Brief,AI-generated client briefing with insights and opportunities,"UC-001, UC-017",Output,AI Platform,RM Dashboard,Large,On-demand,HTML/PDF,Requires Work,Customer Management
DS-009,Opportunity List,Ranked cross-sell/upsell opportunities with reasoning,"UC-001, UC-006, UC-017",Output,AI Platform,RM Dashboard / CRM,Large,Real-time,JSON,Requires Work,Sales
DS-010,Talking Points,Personalized questions and value propositions,UC-001,Output,AI Platform,RM Dashboard,Large,On-demand,Text,Requires Work,Sales
DS-011,CRM Update,Auto-captured meeting notes and relationship updates,UC-001,Output,AI Platform,Salesforce CRM,Large,Post-meeting,JSON via API,Requires Work,Customer Management
DS-012,Performance Metrics,RM productivity conversion rates and usage analytics,"UC-001, UC-007, UC-016",Output,AI Platform,Analytics Dashboard,Large,Daily,JSON,Requires Work,Business Analysis
DS-013,Financial Records,General ledger trial balance and account balances,UC-002,Input,ERP System,AI Platform,Very large,Real-time,JSON via API,Requires Work,Finance
DS-014,Control Data,Reconciliation records and control activities,UC-002,Input,Financial Control System,AI Platform,Large,Real-time,JSON via API,Requires Work,Finance
DS-015,Business Unit Accounts,Department-level accounting data,UC-002,Input,Business Unit Accounting,AI Platform,Large,Batch daily,JSON via API,Requires Work,Business Command and Control
DS-016,Contract Documents,Financial obligations and revenue terms,"UC-002, UC-018",Input,Document Management / Contract Management,AI Platform,Large,Batch daily/weekly,PDF/Word,Requires Work,Document Management and Archive
