"ID","L0_Domain","L1_Group","Level","Source","Primary_Capability","Capability_Name","Definition","Key_Components","Technologies","BNZ_Status","Priority","Maturity_Basic","Maturity_Intermediate","Maturity_Advanced","Maturity_Optimized","Success_Metrics"
"CP-001","Experiences","Workplace AI","L2","placeholder","PLACEHOLDER-WORKPLACE-AI","M365 Copilot Integration","Integration with Microsoft 365 Copilot for productivity AI","","","Planned","","","","","",""
"CP-002","Experiences","Workplace AI","L2","placeholder","PLACEHOLDER-WORKPLACE-AI","Productivity AI Tools","AI-powered tools for workplace productivity enhancement","","","Planned","","","","","",""
"CP-003","Experiences","SaaS AI","L2","placeholder","PLACEHOLDER-SAAS-AI","Embedded AI Features","AI features embedded within third-party SaaS applications","","","Planned","","","","","",""
"CP-004","Experiences","SaaS AI","L2","placeholder","PLACEHOLDER-SAAS-AI","Vendor AI Management","Management and governance of vendor-provided AI capabilities","","","Planned","","","","","",""
"CP-005","Experiences","AI Solutions","L0","capability-model","CAP-L0-EXP: Experiences","Experiences","User interfaces, conversational AI, personalization","","","","","","","","",""
"CP-006","Experiences","AI Solutions","L1","capability-model","CAP-L1-EXP-01","Conversational AI","L1 Capability Group: Conversational AI","","","","","","","","",""
"CP-007","Experiences","AI Solutions","L1","capability-model","CAP-L1-EXP-02","Channel Management","L1 Capability Group: Channel Management","","","","","","","","",""
"CP-008","Experiences","AI Solutions","L1","capability-model","CAP-L1-EXP-03","Personalization","L1 Capability Group: Personalization","","","","","","","","",""
"CP-009","Experiences","AI Solutions","L1","capability-model","CAP-L1-EXP-04","User Assistance","L1 Capability Group: User Assistance","","","","","","","","",""
"CP-010","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-01-01","Intent Classification","Automatically classify and understand user intent from natural language input, enabling conversational AI systems to route requests appropriately and provide relevant responses","Patterns: PT-013","ABBs: AB-030","Gap","High","Rule-based intent matching with limited intents (10-20)","ML-based classification with 50+ intents at 80%+ accuracy","Contextual intent understanding with 100+ intents at 90%+ accuracy","Multi-turn intent refinement with 200+ intents at 95%+ accuracy","Intent classification accuracy (%) | Number of supported intents | False positive rate (%) | Average classification latency (ms)"
"CP-011","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-01-02","Entity Extraction","Identify and extract structured entities (names, dates, amounts, product codes) from unstructured conversational text, enabling accurate understanding of user requests and automated form filling","Patterns: PT-013","ABBs: AB-034","Gap","High","Pattern-based extraction for common entities (5-10 types)","ML-based extraction for 20+ entity types with 80%+ accuracy","Contextual entity extraction with 50+ types and relationship mapping at 90%+ accuracy","Domain-adaptive extraction with custom entity types and 95%+ accuracy","Entity extraction accuracy (%) | Number of entity types supported | Extraction latency (ms) | Entity linking success rate (%)"
"CP-012","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-01-03","Response Generation","Generate contextually appropriate and natural language responses to user queries, combining retrieved information with generative AI to provide helpful and engaging conversational experiences","Patterns: PT-013","ABBs: AB-031","Gap","High","Template-based responses with limited personalization","Rule-based generation with basic context awareness","LLM-powered generation with retrieval augmentation and brand voice","Adaptive generation with user profiling and quality optimization","Response relevance score | Response generation time (ms) | User satisfaction rating | Hallucination rate (%)"
"CP-013","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-01-04","Conversation Management","Maintain conversation state and context across multiple turns, enabling coherent multi-turn dialogues where the system remembers previous exchanges and maintains conversational flow","Patterns: PT-013","ABBs: AB-029","Gap","High","Single-turn conversations with no context","Basic context retention for 3-5 turns","Full conversation history with intelligent context pruning for 10+ turns","Long-term user memory with cross-session context and personalization","Context retention accuracy (%) | Average conversation length (turns) | Context retrieval latency (ms) | Cross-session continuity rate (%)"
"CP-014","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-01-05","Sentiment Analysis","Detect and analyze emotional tone and sentiment in user communications, enabling empathetic responses and appropriate routing to human agents when frustration or distress is detected","Patterns: PT-013","ABBs: AB-033","Gap","Medium","Rule-based sentiment (positive/negative/neutral)","ML-based sentiment with emotion detection (5+ emotions) at 80%+ accuracy","Real-time sentiment tracking with escalation triggers at 90%+ accuracy","Multimodal sentiment (text + voice tone) with predictive intervention","Sentiment detection accuracy (%) | Escalation appropriateness (%) | Response time for negative sentiment (seconds) | Emotion recognition F1 score"
"CP-015","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-02-01","Multi-Channel Support","Deliver consistent AI-powered conversational experiences across multiple communication channels including web chat, mobile apps, voice interfaces, email, and messaging platforms while maintaining unified context","Patterns: PT-013","ABBs: AB-036","Gap","High","Single channel deployment","2-3 channels with separate context","4-6 channels with shared conversation state","8+ channels with seamless handoff and unified user profiles","Number of supported channels | Cross-channel session continuity (%) | Channel-specific optimization score | Unified experience rating"
"CP-016","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-02-02","Human Handoff","Intelligently escalate conversations from AI to human agents when complexity exceeds AI capabilities or when users request human assistance, providing complete context transfer to ensure seamless experience","Patterns: PT-013","ABBs: AB-032","Gap","High","Manual user-initiated transfer with no context","Rule-based escalation with basic conversation summary","Intelligent escalation with full context and sentiment analysis","Predictive handoff with agent skill matching and outcome tracking","Handoff decision accuracy (%) | Context transfer completeness (%) | Post-handoff satisfaction score | Average transfer time (seconds)"
"CP-017","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-02-03","Conversation Summarization","Automatically generate concise summaries of multi-turn conversations, extracting key points, decisions, and action items for both users and agents to review","Patterns: PT-013","ABBs: AB-035","Gap","Medium","Manual summarization by agents","Template-based summaries with key information extraction","Abstractive summarization with action item identification","Intelligent summarization with sentiment tracking and outcome prediction","Summary accuracy (%) | Summary generation time (seconds) | Key information recall rate (%) | User satisfaction with summaries"
"CP-018","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-02-04","Context Preservation","Maintain consistent user context and conversation state as users switch between different channels and devices, ensuring continuity of experience across the omnichannel journey","Patterns: PT-013","ABBs: AB-029","Gap","High","No cross-channel context","Basic user identification across channels","Full context synchronization with <5 second lag","Real-time context replication with predictive channel switching","Cross-channel context accuracy (%) | Context sync latency (seconds) | Session continuity rate (%) | User switching frequency"
"CP-019","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-03-01","Real-Time Personalization","Deliver personalized content, offers, and experiences to users in real-time based on their behavior, preferences, context, and predicted needs using ML models for sub-second decision making","Patterns: PT-009","ABBs: AB-047","Gap","High","Segment-based personalization with daily updates","User-level personalization with hourly model updates","Real-time personalization with <100ms latency","Predictive personalization with context-aware micro-moments","Personalization relevance score | Response time (ms) | Conversion lift (%) | Model refresh frequency"
"CP-020","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-03-02","Recommendation Engine","Generate intelligent product, content, and action recommendations using collaborative filtering, content-based algorithms, and hybrid approaches to drive engagement and conversions","Patterns: PT-009","ABBs: AB-072","Gap","High","Rule-based recommendations (trending/popular)","Collaborative filtering with basic personalization","Hybrid recommendation with deep learning and A/B testing","Contextual recommendations with multi-armed bandits and reinforcement learning","Recommendation click-through rate (%) | Conversion rate (%) | Recommendation diversity | Model performance (NDCG@K)"
"CP-021","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-03-03","Next-Best-Action","Determine and suggest the optimal next action or offer for each customer interaction based on predictive models, business rules, and real-time context to maximize desired outcomes","Patterns: PT-009","ABBs: AB-072","Gap","High","Manual action planning by agents","Rule-based next-best-action with basic prioritization","ML-driven NBA with propensity modeling and business constraints","Reinforcement learning NBA with continuous optimization and multi-objective balancing","Action acceptance rate (%) | Business outcome improvement (%) | Model prediction accuracy | Decision latency (ms)"
"CP-022","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-03-04","Dynamic Content","Dynamically generate and adapt content presentation, messaging, and visual elements in real-time based on user attributes, behavior, and context to optimize engagement and outcomes","Patterns: PT-009","ABBs: AB-072","Gap","Medium","Static content for all users","Segment-based content variants (5-10 variants)","User-level dynamic content with real-time adaptation","AI-generated personalized content with multivariate optimization","Content engagement rate (%) | Personalization depth (variants) | Generation latency (ms) | A/B test win rate (%)"
"CP-023","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-04-01","AI Assistant","Provide intelligent context-aware assistance to users through conversational interfaces, combining natural language understanding, knowledge retrieval, and task automation to help users accomplish their goals efficiently","Patterns: PT-007, PT-013","ABBs: AB-001","Gap","High","FAQ-based chatbot with limited capabilities","Task-oriented assistant with 10-20 supported workflows","Proactive assistant with 50+ workflows and cross-system integration","Autonomous assistant with agentic capabilities and personalized guidance","Task completion rate (%) | User satisfaction score | Number of supported tasks | Automation rate (%)"
"CP-024","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-04-02","Query Understanding","Interpret complex, ambiguous, or poorly-formed user queries by understanding intent, resolving ambiguities, and reformulating queries for optimal information retrieval and response generation","Patterns: PT-005","ABBs: AB-053","Gap","High","Keyword-based query parsing","Basic query reformulation with synonym expansion","Semantic query understanding with context resolution","Multi-turn query refinement with disambiguation and clarification","Query interpretation accuracy (%) | Ambiguity resolution rate (%) | Query reformulation effectiveness | Zero-result query rate (%)"
"CP-025","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-04-03","Proactive Insights","Automatically surface relevant insights, alerts, and recommendations to users before they ask, using predictive analytics and pattern recognition to anticipate information needs and opportunities","Patterns: PT-007","ABBs: AB-001","Gap","Medium","Manual report distribution","Scheduled insights based on rules","Event-triggered insights with relevance filtering","AI-driven proactive insights with user preference learning","Insight relevance score | User engagement with insights (%) | Prediction accuracy (%) | Time-to-insight (hours)"
"CP-026","Experiences","AI Solutions","L2","capability-model","CAP-L2-EXP-04-04","Self-Service Analytics","Enable business users to independently explore data, create visualizations, and generate insights through natural language queries and AI-assisted analytics without requiring technical expertise","Patterns: PT-005","ABBs: AB-080","Gap","Medium","Static pre-built reports only","Basic self-service with drag-and-drop","Natural language query with automated visualization","Conversational analytics with AI-generated insights and recommendations","Self-service adoption rate (%) | Query success rate (%) | Time to insight (minutes) | User satisfaction score"
"CP-027","Experiences","AI Solutions","L2","Embedded AI","Data & Privacy Enablement","Data Access Provisioning","Rapidly provision appropriate data access for embedded AI features with proper security controls and audit trails","Access Request Process | Least Privilege | Data Classification | Access Reviews | API Gateway | Audit Logging","Identity and access management (IAM) | API gateways | Data classification tools | Audit logging systems","Partial","High","Manual access provisioning (weeks)","Self-service access with approval workflows (days)","Automated access provisioning with policy-based controls (hours)","Dynamic access with real-time risk assessment (minutes)","Access provisioning time (hours) | Access review completion rate (%) | Unauthorized access attempts (#) | Audit log completeness (%)"
"CP-028","Experiences","AI Solutions","L2","Embedded AI","Data & Privacy Enablement","Privacy Impact Assessment (Streamlined)","Conduct right-sized privacy impact assessments for embedded AI features focusing on high-risk scenarios","Risk-Based Thresholds | PIA Templates | Fast-Track Process | Privacy by Design | Cross-Border Assessment | Privacy Register","Privacy management platforms | PIA workflow tools | Data mapping tools | Privacy register systems","Gap","High","Full PIA for all features (4-6 weeks)","Risk-tiered PIA with templates (1-2 weeks)","Automated PIA with fast-track for low-risk (days)","AI-assisted PIA with dynamic risk assessment (hours)","PIA completion time (days) | % of features with PIA coverage | Privacy incident rate (#) | Fast-track utilization rate (%)"
"CP-029","Experiences","AI Solutions","L2","Embedded AI","Data & Privacy Enablement","Cross-Border Data Handling","Enable safe cross-border data flows for global SaaS platforms while meeting NZ Privacy Act and other jurisdictional requirements","Data Residency Mapping | Transfer Mechanisms | Localization Requirements | Vendor Commitments | Transparency | Alternative Architectures","Data flow mapping tools | Contract management systems | Privacy compliance platforms | Multi-region deployment tools","Gap","High","Ad-hoc assessment of cross-border flows","Documented data flow maps with transfer safeguards","Automated data flow discovery with compliance validation","Dynamic data routing based on regulatory requirements","Data flow map completeness (%) | Cross-border transfer compliance rate (%) | Data localization coverage (%) | Privacy complaint rate (#)"
"CP-030","Experiences","AI Solutions","L2","Embedded AI","Data & Privacy Enablement","Data Quality for AI (IPP 8 Alignment)","Ensure data used by embedded AI meets accuracy and quality requirements particularly for automated decisions under NZ Privacy Act IPP 8","Accuracy Standards | Quality Monitoring | Data Correction | Source Validation | Automated Decision Flagging | Quality Dashboards","Data quality platforms | Data observability tools | Master data management | Quality monitoring dashboards","Partial","High","Manual data quality checks","Automated quality monitoring with alerts","Continuous quality monitoring with auto-correction","Predictive quality management with ML-driven validation","Data accuracy rate (%) | Quality incident rate (#) | Automated decision accuracy (%) | Data correction cycle time (hours)"
"CP-031","Experiences","AI Solutions","L2","Embedded AI","Feature Activation & Deployment","Rapid Pilot & Sandbox Environments","Provision isolated environments for rapid experimentation and pilot programs before full production deployment","Instant Provisioning | Pre-Production Environments | Test Data Management | Pilot User Groups | Evaluation Frameworks | Fail-Fast Mechanisms","Cloud provisioning automation | Test data management tools | User feedback platforms | Pilot program management tools","Partial","High","Shared development environment (2-4 weeks setup)","Dedicated pilot environment (1 week setup)","Self-service sandbox provisioning (hours)","Instant ephemeral environments with auto-teardown (minutes)","Sandbox provision time (hours) | Number of active pilots | Pilot success rate (%) | Time from pilot start to decision (weeks)"
"CP-032","Experiences","AI Solutions","L2","Embedded AI","Feature Activation & Deployment","Feature Configuration & Customization","Configure and customize embedded AI features to align with BNZ processes branding and business rules","Configuration Management | Customization Options | Business Rules | Prompt Engineering | Model Fine-Tuning | Feature Flagging","Configuration management tools | Feature flag platforms (LaunchDarkly) | Prompt management systems | Model customization platforms","Gap","High","Manual configuration with vendor support","Documented configuration patterns and playbooks","Self-service configuration with templates","AI-assisted configuration recommendations","Configuration time (days) | Customization depth (%) | Business rule compliance (%) | Prompt effectiveness score"
"CP-033","Experiences","AI Solutions","L2","Embedded AI","Feature Activation & Deployment","Enterprise Integration & SSO","Integrate embedded AI features with BNZ's enterprise systems identity management and security infrastructure","Single Sign-On | API Integration | Data Synchronization | Security Controls | Network Integration | Audit Logging","Identity providers (Azure AD Okta) | API management platforms | Data integration tools | SIEM systems | Network security tools","Partial","High","Manual integration with basic SSO (4-6 weeks)","Standardized integration patterns (2-3 weeks)","Self-service integration with pre-built connectors (1 week)","Automatic integration via API discovery (days)","SSO setup time (days) | Integration reliability (%) | Security incident rate (#) | Audit log completeness (%)"
"CP-034","Experiences","AI Solutions","L2","Embedded AI","Feature Activation & Deployment","Staged Rollout Management","Execute controlled staged rollouts of embedded AI features to minimize risk and ensure smooth adoption","Rollout Strategy | Phased Deployment | Blue-Green Deployment | Canary Releases | Feature Gates | Rollback Plans","Feature management platforms | Deployment automation tools | User segmentation systems | Monitoring and alerting platforms","Partial","High","Big-bang deployment with basic rollback","Phased rollout with defined stages","Automated staged rollout with dynamic gating","AI-driven rollout optimization and auto-rollback","Rollout duration (days) | Incident rate during rollout (#) | Rollback frequency (#) | User satisfaction by rollout phase"
"CP-035","Experiences","AI Solutions","L2","Embedded AI","Feature Activation & Deployment","User Adoption & Training","Drive user adoption through targeted training support and change management to maximize value realization","Training Programs | Self-Service Resources | Champions Network | Support Channels | Adoption Metrics | Feedback Loops","Learning management systems | Knowledge base platforms | Support ticketing systems | Adoption analytics tools | User feedback platforms","Partial","High","Ad-hoc training and documentation","Structured training programs with resources","Multi-channel support with adoption tracking","Personalized learning paths with AI-driven recommendations","User adoption rate (%) | Training completion rate (%) | Support ticket volume (#) | User satisfaction score"
"CP-036","Experiences","AI Solutions","L2","Embedded AI","Operational Oversight (Light-Touch)","Vendor Performance Monitoring","Track vendor performance against SLAs and contractual commitments with focus on material service providers","SLA Tracking | Incident Management | Escalation Protocols | Performance Dashboards | Material Provider Focus | Vendor Scorecards","Vendor management platforms | SLA monitoring tools | Incident tracking systems | Performance analytics dashboards","Partial","High","Manual SLA tracking with quarterly reviews","Automated SLA monitoring with alerts","Real-time dashboards with predictive alerting","AI-driven vendor health prediction and auto-remediation","SLA compliance rate (%) | Mean time to resolution (hours) | Vendor performance score | Material provider oversight coverage (%)"
"CP-037","Experiences","AI Solutions","L2","Embedded AI","Operational Oversight (Light-Touch)","Change Impact Assessment","Assess and manage the impact of vendor updates configuration changes and new feature rollouts with risk-based approaches","Change Notification | Impact Analysis | Testing Requirements | Change Windows | Rollback Readiness | Communication","Change management systems | Impact analysis tools | Testing frameworks | Communication platforms","Partial","Medium","Manual change review with ad-hoc testing","Standardized impact assessment with risk-based testing","Automated impact analysis with integrated testing","Predictive impact modeling with auto-classification","Change assessment completion rate (%) | Change-related incident rate (#) | Average assessment cycle time (days) | Rollback frequency (#)"
