AgenticAI Capabilities,Requirements,October 1st MVP Decisions,Alternative Options post MVP,Confidence Rating / Notes,Capability Area,Primary Capability
Agent Development framework,"Define how agents are designed, how they interact, and how they achieve their objectives.","• Strands
• LangGraph",,High - mature OSS,Agentic AI,2. Agent Development Frameworks
Agentic hosting / runtime,"Auto-scaling runtimes, scheduler systems, and queue systems for agent execution with Network-level security including private networks and traffic isolation",• AWS AgentCore Runtime,• Kubernetes Containers,High - Pending General Availability & VPC connectivity,Agentic AI,1. Agent Platform Infrastructure - 1.1 Runtime Environment
Agentic builder (CI/CD),"Code integration, testing, and deployment",• NEF tooling,,High - Existing tools with the need to support Python,Agentic AI,2. Agent Development Frameworks - 2.4 Development Tools
GraphDB (Semantic) / Vector,"Interconnected web of facts that illustrates the semantic relationships between entities.",• PostgreSQL with Graph (AGE) / Vector extension,• Neo4j,Medium - requires efforts to manage knowledge lifecycle via Agents,Knowledge,3. Knowledge Storage & Retrieval (3.2 Graph Database Management / 3.1 Vector Database Management)
Context Memory and State management,"Context management, long-term memory systems, and knowledge stores",• PostgreSQL,• Mem0,High - Existing database technology,Agentic AI,1. Agent Platform Infrastructure - 1.5 Memory Services
Agent Registry,"Metadata about each agent, allowing other agents or systems to discover and interact with them",• Databricks - Unity Catalogue,• Build our own,Medium - originally intended for data governance framework. Evolved to support agents. Requires testing,Agentic AI,7. Agent Segmentation
MCP Gateway,Aggregating multiple MCP servers behind a single, secure interface.,• None,• Pending analysis,Low - No market options but not required until we scale,Agentic AI,1. Agent Platform Infrastructure - 1.4 Gateway Services
MCP Registry / Servers,"Responsible for executing AI logic, handling tool execution, and managing session context between Agents and platform services.","• Use case specific e.g. GitHub, DocMgmt, ServiceNow",• MCP Registry (recent launch from Anthropic),Medium - undergoing PoC to validate integration with NAB and external tool integration to pass additional context,Agentic AI,3. Agent Runtime Capabilities - 3.4 Action and Tool Use
Agent evaluation & observability,"Specialised monitoring for agent performance, evaluation logs, conversation quality, and behavioural analytics for business and technical owners","• Databricks - MLFlow3

• OpenTelemetry (OTEL)",• Inhouse build using OSS that supports both Business and Tech users,Medium - Built-in LLM judges with automated metrics with ML Human Feedback integrations. Mflow 3.x will have external tool integration to pass additional context,Agentic AI,3. Agent Runtime Capabilities - 3.5 Monitoring and Observability
Large Language Model serving (LLMaaS),Core language models that power agent reasoning and natural language understanding,• Databricks (Mosaic AI Gateway),• AWS Bedrock,Medium - Requires testing of new frontier models. Limited by AWS Bedrock and reviews,Agentic AI,Foundation layer - supports all capabilities
Agent Intent and Eventing Communication Backbone,Decoupling A2A and enabling asynchronous communication with durable messaging.,• NAB Kafka Eventing,,High - proven technology. Agent testing required,Agentic AI,5. Agent Communication - 5.3 Agent-to-Agent
