Type,Level,BizzId,Concept,BusinessArea,BusinessDomain,ServiceDomain,Link
Business Area,1,55812,Canvas,Sales and Service,,,https://bian.org/servicelandscape-13-0-0/elements/id_55812.html
Business Domain,2,87609,StrategyCapability,Sales and Service,Channel Specific,,https://bian.org/servicelandscape-13-0-0/elements/id_87609.html
Service Domain,3,87611,StrategyCapability,Sales and Service,Channel Specific,Branch Location Management,https://bian.org/servicelandscape-13-0-0/elements/id_87611.html
Service Domain,3,87613,StrategyCapability,Sales and Service,Channel Specific,Contact Center Management,https://bian.org/servicelandscape-13-0-0/elements/id_87613.html
Service Domain,3,87615,StrategyCapability,Sales and Service,Channel Specific,Branch Network Management,https://bian.org/servicelandscape-13-0-0/elements/id_87615.html
Service Domain,3,87617,StrategyCapability,Sales and Service,Channel Specific,eBranch Management,https://bian.org/servicelandscape-13-0-0/elements/id_87617.html
Service Domain,3,87619,StrategyCapability,Sales and Service,Channel Specific,Advanced Voice Services Management,https://bian.org/servicelandscape-13-0-0/elements/id_87619.html
Service Domain,3,87621,StrategyCapability,Sales and Service,Channel Specific,ATM Network Management,https://bian.org/servicelandscape-13-0-0/elements/id_87621.html
Service Domain,3,87623,StrategyCapability,Sales and Service,Channel Specific,Contact Center Operations,https://bian.org/servicelandscape-13-0-0/elements/id_87623.html
Service Domain,3,87625,StrategyCapability,Sales and Service,Channel Specific,Branch Location Operations,https://bian.org/servicelandscape-13-0-0/elements/id_87625.html
Service Domain,3,87627,StrategyCapability,Sales and Service,Channel Specific,eBranch Operations,https://bian.org/servicelandscape-13-0-0/elements/id_87627.html
Service Domain,3,87629,StrategyCapability,Sales and Service,Channel Specific,Advanced Voice Services Operations,https://bian.org/servicelandscape-13-0-0/elements/id_87629.html
Service Domain,3,87631,StrategyCapability,Sales and Service,Channel Specific,ATM Network Operations,https://bian.org/servicelandscape-13-0-0/elements/id_87631.html
Service Domain,3,87633,StrategyCapability,Sales and Service,Channel Specific,Branch Currency Management,https://bian.org/servicelandscape-13-0-0/elements/id_87633.html
Service Domain,3,87635,StrategyCapability,Sales and Service,Channel Specific,Branch Currency Distribution,https://bian.org/servicelandscape-13-0-0/elements/id_87635.html
Service Domain,3,87637,StrategyCapability,Sales and Service,Channel Specific,Product Inventory Item Management,https://bian.org/servicelandscape-13-0-0/elements/id_87637.html
Service Domain,3,87639,StrategyCapability,Sales and Service,Channel Specific,Product Inventory Distribution,https://bian.org/servicelandscape-13-0-0/elements/id_87639.html
Service Domain,3,87641,StrategyCapability,Sales and Service,Channel Specific,Card Terminal Administration,https://bian.org/servicelandscape-13-0-0/elements/id_87641.html
Service Domain,3,87643,StrategyCapability,Sales and Service,Channel Specific,Card Terminal Operation,https://bian.org/servicelandscape-13-0-0/elements/id_87643.html
Business Domain,2,87645,StrategyCapability,Sales and Service,Cross Channel,,https://bian.org/servicelandscape-13-0-0/elements/id_87645.html
Service Domain,3,87647,StrategyCapability,Sales and Service,Cross Channel,Party Authentication,https://bian.org/servicelandscape-13-0-0/elements/id_87647.html
Service Domain,3,87649,StrategyCapability,Sales and Service,Cross Channel,Transaction Authorization,https://bian.org/servicelandscape-13-0-0/elements/id_87649.html
Service Domain,3,87651,StrategyCapability,Sales and Service,Cross Channel,Point of Service,https://bian.org/servicelandscape-13-0-0/elements/id_87651.html
Service Domain,3,87653,StrategyCapability,Sales and Service,Cross Channel,Servicing Event History,https://bian.org/servicelandscape-13-0-0/elements/id_87653.html
Service Domain,3,87655,StrategyCapability,Sales and Service,Cross Channel,Contact Routing,https://bian.org/servicelandscape-13-0-0/elements/id_87655.html
Service Domain,3,87657,StrategyCapability,Sales and Service,Cross Channel,Session Dialogue,https://bian.org/servicelandscape-13-0-0/elements/id_87657.html
Service Domain,3,87659,StrategyCapability,Sales and Service,Cross Channel,Interactive Help,https://bian.org/servicelandscape-13-0-0/elements/id_87659.html
Service Domain,3,87661,StrategyCapability,Sales and Service,Cross Channel,Contact Handler,https://bian.org/servicelandscape-13-0-0/elements/id_87661.html
Service Domain,3,87663,StrategyCapability,Sales and Service,Cross Channel,Customer Workbench,https://bian.org/servicelandscape-13-0-0/elements/id_87663.html
Service Domain,3,87665,StrategyCapability,Sales and Service,Cross Channel,Servicing Activity Analysis,https://bian.org/servicelandscape-13-0-0/elements/id_87665.html
Service Domain,3,87667,StrategyCapability,Sales and Service,Cross Channel,Service Directory,https://bian.org/servicelandscape-13-0-0/elements/id_87667.html
Business Domain,2,87669,StrategyCapability,Sales and Service,Marketing,,https://bian.org/servicelandscape-13-0-0/elements/id_87669.html
Service Domain,3,87671,StrategyCapability,Sales and Service,Marketing,Business Development,https://bian.org/servicelandscape-13-0-0/elements/id_87671.html
Service Domain,3,87673,StrategyCapability,Sales and Service,Marketing,Brand Management,https://bian.org/servicelandscape-13-0-0/elements/id_87673.html
Service Domain,3,87675,StrategyCapability,Sales and Service,Marketing,Advertising,https://bian.org/servicelandscape-13-0-0/elements/id_87675.html
Service Domain,3,87677,StrategyCapability,Sales and Service,Marketing,Promotional Events,https://bian.org/servicelandscape-13-0-0/elements/id_87677.html
Service Domain,3,87679,StrategyCapability,Sales and Service,Marketing,Prospect Campaign Design,https://bian.org/servicelandscape-13-0-0/elements/id_87679.html
Service Domain,3,87681,StrategyCapability,Sales and Service,Marketing,Customer Campaign Management,https://bian.org/servicelandscape-13-0-0/elements/id_87681.html
Service Domain,3,87683,StrategyCapability,Sales and Service,Marketing,Customer Campaign Design,https://bian.org/servicelandscape-13-0-0/elements/id_87683.html
Service Domain,3,87685,StrategyCapability,Sales and Service,Marketing,Customer Surveys,https://bian.org/servicelandscape-13-0-0/elements/id_87685.html
Service Domain,3,87687,StrategyCapability,Sales and Service,Marketing,Prospect Campaign Management,https://bian.org/servicelandscape-13-0-0/elements/id_87687.html
Business Domain,2,87689,StrategyCapability,Sales and Service,Sales,,https://bian.org/servicelandscape-13-0-0/elements/id_87689.html
Service Domain,3,87691,StrategyCapability,Sales and Service,Sales,Prospect Campaign Execution,https://bian.org/servicelandscape-13-0-0/elements/id_87691.html
Service Domain,3,87693,StrategyCapability,Sales and Service,Sales,Party Lifecycle Management,https://bian.org/servicelandscape-13-0-0/elements/id_87693.html
Service Domain,3,87695,StrategyCapability,Sales and Service,Sales,Lead and Opportunity Management,https://bian.org/servicelandscape-13-0-0/elements/id_87695.html
Service Domain,3,87697,StrategyCapability,Sales and Service,Sales,Customer Campaign Execution,https://bian.org/servicelandscape-13-0-0/elements/id_87697.html
Service Domain,3,87699,StrategyCapability,Sales and Service,Sales,Customer Offer,https://bian.org/servicelandscape-13-0-0/elements/id_87699.html
Service Domain,3,87701,StrategyCapability,Sales and Service,Sales,Sales Planning,https://bian.org/servicelandscape-13-0-0/elements/id_87701.html
Service Domain,3,87703,StrategyCapability,Sales and Service,Sales,Underwriting,https://bian.org/servicelandscape-13-0-0/elements/id_87703.html
Service Domain,3,87705,StrategyCapability,Sales and Service,Sales,Commission Agreement,https://bian.org/servicelandscape-13-0-0/elements/id_87705.html
Service Domain,3,87707,StrategyCapability,Sales and Service,Sales,Commissions,https://bian.org/servicelandscape-13-0-0/elements/id_87707.html
Service Domain,3,87709,StrategyCapability,Sales and Service,Sales,Product Matching,https://bian.org/servicelandscape-13-0-0/elements/id_87709.html
Service Domain,3,87711,StrategyCapability,Sales and Service,Sales,Product Expert Sales Support,https://bian.org/servicelandscape-13-0-0/elements/id_87711.html
Service Domain,3,87713,StrategyCapability,Sales and Service,Sales,Product Sales Support,https://bian.org/servicelandscape-13-0-0/elements/id_87713.html
Service Domain,3,87715,StrategyCapability,Sales and Service,Sales,Sales Product,https://bian.org/servicelandscape-13-0-0/elements/id_87715.html
Business Domain,2,87717,StrategyCapability,Sales and Service,Customer Management,,https://bian.org/servicelandscape-13-0-0/elements/id_87717.html
Service Domain,3,87719,StrategyCapability,Sales and Service,Customer Management,Customer Relationship Management,https://bian.org/servicelandscape-13-0-0/elements/id_87719.html
Service Domain,3,87721,StrategyCapability,Sales and Service,Customer Management,Customer Product And Service Eligibility,https://bian.org/servicelandscape-13-0-0/elements/id_87721.html
Service Domain,3,87723,StrategyCapability,Sales and Service,Customer Management,Customer Agreement,https://bian.org/servicelandscape-13-0-0/elements/id_87723.html
Service Domain,3,87725,StrategyCapability,Sales and Service,Customer Management,Sales Product Agreement,https://bian.org/servicelandscape-13-0-0/elements/id_87725.html
Service Domain,3,87727,StrategyCapability,Sales and Service,Customer Management,Customer Access Entitlement,https://bian.org/servicelandscape-13-0-0/elements/id_87727.html
Service Domain,3,87729,StrategyCapability,Sales and Service,Customer Management,Customer Behavior Insights,https://bian.org/servicelandscape-13-0-0/elements/id_87729.html
Service Domain,3,87731,StrategyCapability,Sales and Service,Customer Management,Customer Credit Rating,https://bian.org/servicelandscape-13-0-0/elements/id_87731.html
Service Domain,3,87733,StrategyCapability,Sales and Service,Customer Management,Account Recovery,https://bian.org/servicelandscape-13-0-0/elements/id_87733.html
Service Domain,3,87735,StrategyCapability,Sales and Service,Customer Management,Customer Event History,https://bian.org/servicelandscape-13-0-0/elements/id_87735.html
Service Domain,3,87737,StrategyCapability,Sales and Service,Customer Management,Customer Proposition,https://bian.org/servicelandscape-13-0-0/elements/id_87737.html
Service Domain,3,87741,StrategyCapability,Sales and Service,Customer Management,Customer Product and Service Directory,https://bian.org/servicelandscape-13-0-0/elements/id_87741.html
Service Domain,3,87743,StrategyCapability,Sales and Service,Customer Management,Customer Financial Insights,https://bian.org/servicelandscape-13-0-0/elements/id_87743.html
Business Domain,2,87745,StrategyCapability,Sales and Service,Servicing,,https://bian.org/servicelandscape-13-0-0/elements/id_87745.html
Service Domain,3,87747,StrategyCapability,Sales and Service,Servicing,Servicing Issue,https://bian.org/servicelandscape-13-0-0/elements/id_87747.html
Service Domain,3,87749,StrategyCapability,Sales and Service,Servicing,Customer Case Management,https://bian.org/servicelandscape-13-0-0/elements/id_87749.html
Service Domain,3,87751,StrategyCapability,Sales and Service,Servicing,Case Root Cause Analysis,https://bian.org/servicelandscape-13-0-0/elements/id_87751.html
Service Domain,3,87753,StrategyCapability,Sales and Service,Servicing,Customer Case,https://bian.org/servicelandscape-13-0-0/elements/id_87753.html
Service Domain,3,87755,StrategyCapability,Sales and Service,Servicing,Card Case,https://bian.org/servicelandscape-13-0-0/elements/id_87755.html
Service Domain,3,87757,StrategyCapability,Sales and Service,Servicing,Servicing Order,https://bian.org/servicelandscape-13-0-0/elements/id_87757.html
Service Domain,3,87759,StrategyCapability,Sales and Service,Servicing,Servicing Mandate,https://bian.org/servicelandscape-13-0-0/elements/id_87759.html
Service Domain,3,87761,StrategyCapability,Sales and Service,Servicing,Payment Initiation,https://bian.org/servicelandscape-13-0-0/elements/id_87761.html
Service Domain,3,87763,StrategyCapability,Sales and Service,Servicing,Loan Syndication,https://bian.org/servicelandscape-13-0-0/elements/id_87763.html
Business Area,1,87765,CompositeGrouping,Reference Data,,,https://bian.org/servicelandscape-13-0-0/elements/id_87765.html
Business Domain,2,87767,StrategyCapability,Reference Data,Party,,https://bian.org/servicelandscape-13-0-0/elements/id_87767.html
Service Domain,3,87769,StrategyCapability,Reference Data,Party,Party Routing Profile,https://bian.org/servicelandscape-13-0-0/elements/id_87769.html
Service Domain,3,87771,StrategyCapability,Reference Data,Party,Legal Entity Directory,https://bian.org/servicelandscape-13-0-0/elements/id_87771.html
Business Domain,2,87773,StrategyCapability,Reference Data,External Agency,,https://bian.org/servicelandscape-13-0-0/elements/id_87773.html
Service Domain,3,87775,StrategyCapability,Reference Data,External Agency,Information Provider Administration,https://bian.org/servicelandscape-13-0-0/elements/id_87775.html
Service Domain,3,87777,StrategyCapability,Reference Data,External Agency,Syndicate Management,https://bian.org/servicelandscape-13-0-0/elements/id_87777.html
Service Domain,3,87779,StrategyCapability,Reference Data,External Agency,Interbank Relationship Management,https://bian.org/servicelandscape-13-0-0/elements/id_87779.html
Service Domain,3,87781,StrategyCapability,Reference Data,External Agency,Correspondent Bank Relationship,https://bian.org/servicelandscape-13-0-0/elements/id_87781.html
