Element_Type,Element_Name,Parent_Category,Level,Description
Value Chain Category,Business Management,,1,Business Management value chain category
Service Domain,Business Direction,Business Management,2,Service Domain within Business Management
Service Domain,Organization Direction,Business Management,2,Service Domain within Business Management
Service Domain,Products and Services Direction,Business Management,2,Service Domain within Business Management
Service Domain,Corporate Strategy,Business Management,2,Service Domain within Business Management
Service Domain,Corporate Policies,Business Management,2,Service Domain within Business Management
Service Domain,Human Resources Direction,Business Management,2,Service Domain within Business Management
Service Domain,IT Systems Direction,Business Management,2,Service Domain within Business Management
Service Domain,Asset And Liability Management,Business Management,2,Service Domain within Business Management
Service Domain,Property Portfolio,Business Management,2,Service Domain within Business Management
Value Chain Category,Corporate Relations,,1,Corporate Relations value chain category
Service Domain,Investor Relations,Corporate Relations,2,Service Domain within Corporate Relations
Service Domain,Corporate Relationship,Corporate Relations,2,Service Domain within Corporate Relations
Service Domain,Corporate Alliance and Stake Holder,Corporate Relations,2,Service Domain within Corporate Relations
Service Domain,Corporate Communications,Corporate Relations,2,Service Domain within Corporate Relations
Value Chain Category,Corporate Services,,1,Corporate Services value chain category
Service Domain,Legal Compliance,Corporate Services,2,Service Domain within Corporate Services
Service Domain,Internal Audit,Corporate Services,2,Service Domain within Corporate Services
Service Domain,Security Advisory,Corporate Services,2,Service Domain within Corporate Services
Service Domain,Security Assurance,Corporate Services,2,Service Domain within Corporate Services
Service Domain,Continuity Planning,Corporate Services,2,Service Domain within Corporate Services
Value Chain Category,Unit Management,,1,Unit Management value chain category
Service Domain,Business Unit Direction,Unit Management,2,Service Domain within Unit Management
Service Domain,Business Unit Financial Operations,Unit Management,2,Service Domain within Unit Management
Service Domain,Business Unit Management,Unit Management,2,Service Domain within Unit Management
Service Domain,Business Unit Accounting,Unit Management,2,Service Domain within Unit Management
Service Domain,Business Unit Financial Analysis,Unit Management,2,Service Domain within Unit Management
Value Chain Category,Buildings And Equipment,,1,Buildings And Equipment value chain category
Service Domain,Fixed Asset Register,Buildings And Equipment,2,Service Domain within Buildings And Equipment
Service Domain,Procurement,Buildings And Equipment,2,Service Domain within Buildings And Equipment
Service Domain,Equipment Administration,Buildings And Equipment,2,Service Domain within Buildings And Equipment
Service Domain,Equipment Maintenance,Buildings And Equipment,2,Service Domain within Buildings And Equipment
