Issue Key,Summary,Issue Type,Parent,Epic Link,Duration (Days),Start Date,End Date,Predecessors,Assignee/Team,Priority,Status,Labels,Components,Story Points,Pattern Dependencies,ABB Dependencies,Use Cases Enabled,Description
W1,WAVE 1: FOUNDATION BUILD,Initiative,,,,2025-01-06,2025-05-30,,All ARTs,Highest,To Do,wave-1 foundation Q2-FY25 Q3-FY25,AI Platform,,,,,"Core infrastructure - must complete before any use case deployment. Timeline: Jan-Jun 2025 (Q2-Q3 FY25)"
W1-PI1,Program Increment 1 (PI-1),Initiative,W1,,75,2025-01-06,2025-03-21,,All ARTs,Highest,To Do,wave-1 pi-1 Q2-FY25,AI Platform,,,,,Q2 FY25 - Governance Foundation
W1-PI1-E1,EPIC: AI Governance Framework,Epic,W1-PI1,,60,2025-01-06,2025-03-07,,Platform Services,Highest,To Do,wave-1 governance,Platform Services,,PT-001,,,Establish AI governance controls and model lifecycle management
W1-F001,AI Model Registry Setup,Story,W1-PI1-E1,W1-PI1-E1,20,2025-01-06,2025-01-25,,Platform Services,Highest,To Do,wave-1 governance foundation,Platform Services,13,PT-001,"AB-086, AB-060",,Model lifecycle management foundation
W1-F002,AI Gateway & Policy Enforcement,Story,W1-PI1-E1,W1-PI1-E1,25,2025-01-20,2025-02-13,W1-F001,Platform Services,Highest,To Do,wave-1 governance security,Platform Services,13,PT-001,AB-066,,Central policy enforcement point
W1-F003,Approval Workflow Orchestrator,Story,W1-PI1-E1,W1-PI1-E1,15,2025-02-03,2025-02-17,W1-F001,Platform Services,High,To Do,wave-1 governance workflow,Platform Services,8,PT-001,AB-062,,Governance workflow automation
W1-F004,Risk Assessment Engine,Story,W1-PI1-E1,W1-PI1-E1,20,2025-02-10,2025-03-01,W1-F002,Platform Services,High,To Do,wave-1 governance risk,Platform Services,13,PT-001,AB-061,,Model risk scoring
W1-F005,Compliance Dashboard,Story,W1-PI1-E1,W1-PI1-E1,15,2025-02-17,2025-03-07,W1-F003,Platform Services,Medium,To Do,wave-1 governance compliance,Platform Services,8,PT-001,AB-064,,Governance visibility
W1-PI1-E2,EPIC: Security & Privacy Foundation,Epic,W1-PI1,,50,2025-01-20,2025-03-10,,Platform Services,Highest,To Do,wave-1 security,Platform Services,,PT-018,,,Security controls for AI services
W1-F006,Access Control & Identity Management,Story,W1-PI1-E2,W1-PI1-E2,25,2025-01-20,2025-02-13,,Platform Services,Highest,To Do,wave-1 security iam,Platform Services,13,PT-018,AB-115,,IAM integration for AI services
